farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00001,FIELD_FARM_00001_3,Southwest,48.767858,-81.080363,898.0,Sandy,5.89,0.82,87.3,52.1,227.0,5.5,1944.3,77.5,18.2,Cotton,Cotton_Standard,2023-04-12,2023-10-07,Nitrogen_High,87.4,Rainfall_Only,9,Conventional_Till,95.7,Low,High,Yes,1.46,1736.77,805.56,-931.21,0.0,984.9
FARM_00002,FIELD_FARM_00002_1,Northeast,46.49851,-84.181548,675.7,Sandy,7.87,5.81,81.8,31.3,74.4,22.1,964.3,45.5,22.4,Wheat,Wheat_Standard,2023-04-08,2023-07-10,Urea,93.5,Drip_Irrigation,9,Strip_Till,82.8,Medium,Low,No,6.87,1290.3,7717.89,6427.59,581.8,393.9
FARM_00003,FIELD_FARM_00003_2,California_Central_Valley,38.020857,-67.329679,1266.8,Clayey_Loam,6.18,5.06,38.9,29.7,185.7,8.5,1634.1,43.4,29.8,Lettuce,Lettuce_Standard,2023-05-17,2023-08-22,Nitrogen_High,218.7,Rainfall_Only,4,Reduced_Till,118.0,High,Medium,No,25.77,1398.9,6446.82,5047.92,0.0,433.7
FARM_00004,FIELD_FARM_00004_2,Pacific_Northwest,43.240154,-86.746552,1330.8,Clay,6.46,5.84,85.6,60.5,109.0,11.4,224.8,72.0,16.7,Wheat,Wheat_Standard,2023-03-04,2023-06-24,No_Fertilizer,181.3,Drip_Irrigation,12,Strip_Till,85.6,Low,Low,Yes,4.67,2359.4,4659.11,2299.71,506.7,884.3
FARM_00005,FIELD_FARM_00005_2,Great_Plains,38.483556,-76.553591,1344.1,Sandy_Loam,5.78,1.75,45.6,67.3,265.2,5.2,1094.9,58.8,18.3,Wheat,Wheat_Standard,2023-04-24,2023-09-12,Phosphorus_High,109.1,Rainfall_Only,3,Reduced_Till,146.0,Low,Medium,No,4.2,2495.48,1806.44,-689.04,0.0,979.0
FARM_00006,FIELD_FARM_00006_2,California_Central_Valley,31.966162,-70.504047,359.3,Sandy,6.83,2.96,57.5,51.5,70.2,14.2,598.0,76.1,22.1,Soybeans,Soybeans_Standard,2023-05-16,2023-08-29,Urea,250.6,Subsurface_Drip,5,Reduced_Till,54.9,Medium,Medium,Yes,3.32,1922.3,3322.67,1400.38,278.9,186.6
FARM_00007,FIELD_FARM_00007_1,Midwest,34.939301,-93.934919,1256.6,Loam,6.35,1.12,92.8,71.4,114.5,21.5,1661.9,65.0,22.9,Soybeans,Soybeans_Standard,2023-03-05,2023-07-04,Nitrogen_High,189.9,Subsurface_Drip,2,Strip_Till,57.5,Medium,Medium,No,4.14,2275.54,4320.66,2045.12,748.5,806.8
FARM_00008,FIELD_FARM_00008_2,Northeast,34.307069,-68.591993,1460.5,Sandy,5.9,3.52,70.7,55.6,106.1,22.8,588.9,54.6,26.2,Lettuce,Lettuce_Standard,2023-03-16,2023-08-28,No_Fertilizer,152.6,Flood_Irrigation,5,No_Till,99.1,Low,High,Yes,27.62,1762.28,27194.0,25431.72,402.1,619.2
FARM_00009,FIELD_FARM_00009_1,Pacific_Northwest,30.754632,-95.048397,858.0,Clay,5.61,5.97,49.6,29.6,270.9,23.7,1913.2,54.9,23.3,Wheat,Wheat_Standard,2023-05-21,2023-09-19,NPK_Balanced,255.3,Drip_Irrigation,1,Strip_Till,54.4,Medium,High,No,5.37,694.35,4273.44,3579.08,792.0,226.1
FARM_00010,FIELD_FARM_00010_3,Southeast,46.934327,-80.553883,1045.5,Loam,7.27,3.54,33.2,39.4,114.1,20.3,300.9,40.2,24.4,Rice,Rice_Standard,2023-05-23,2023-09-04,Nitrogen_High,112.7,Subsurface_Drip,6,Minimum_Till,23.2,Medium,Low,Yes,13.21,2177.87,13917.48,11739.61,200.2,135.0
