antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,rule_category,agricultural_interpretation
"soil_ph_category_Neutral, crop_type_Cotton","yield_category_Low, profit_category_Low",0.0642,0.1908,0.0592,0.9221183800623054,4.832905555882104,1.0,0.04695064,10.390128000000015,0.8474942670817858,0.3023493360572012,0.9037547949361164,0.6161954583749683,Agricultural Pattern,Farming practice association
"crop_type_Cotton, annual_rainfall_category_High","yield_category_Low, profit_category_Low",0.0686,0.1908,0.0628,0.9154518950437318,4.797965906937798,1.0,0.04971112,9.570882758620694,0.849880120194379,0.3194303153611394,0.8955164298612602,0.6222961781298324,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Cotton","yield_category_Low, profit_category_Low",0.1044,0.1908,0.095,0.9099616858237547,4.769191225491377,1.0,0.07508048,8.98728510638297,0.8824484614842154,0.4745254745254745,0.8887316928123513,0.7039326248825273,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, profit_category_Low",0.1044,0.1908,0.095,0.9099616858237547,4.769191225491377,1.0,0.07508048,8.98728510638297,0.8824484614842154,0.4745254745254745,0.8887316928123513,0.7039326248825273,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, planting_season_Spring, profit_category_Low",0.1044,0.1908,0.095,0.9099616858237547,4.769191225491377,1.0,0.07508048,8.98728510638297,0.8824484614842154,0.4745254745254745,0.8887316928123513,0.7039326248825273,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, profit_category_Low, annual_rainfall_category_High",0.1044,0.1266,0.0628,0.6015325670498083,4.751442077802594,1.0,0.049582959999999995,2.191898076923076,0.8815738941690872,0.3733650416171225,0.5437744069725307,0.5487915599861996,Agricultural Pattern,Farming practice association
"crop_type_Cotton, disease_pressure_Low","yield_category_Low, profit_category_Low",0.0638,0.1908,0.0572,0.8965517241379312,4.698908407431505,1.0,0.045026960000000005,7.8222666666666765,0.8408295400391107,0.28976697061803447,0.8721598172737657,0.5981710402660305,Agricultural Pattern,Farming practice association
"crop_type_Cotton, nitrogen_content_category_High","yield_category_Low, profit_category_Low",0.066,0.1908,0.059,0.8939393939393938,4.685216949367892,1.0,0.046407199999999996,7.629599999999991,0.8421442311182086,0.29828109201213343,0.8689315298311836,0.6015818562988373,Agricultural Pattern,Farming practice association
crop_type_Tomatoes,"profit_category_VeryHigh, planting_season_Spring, yield_category_VeryHigh",0.0986,0.1748,0.0752,0.7626774847870184,4.3631435056465575,1.0,0.057964720000000004,3.4771247863247874,0.8551225280768923,0.3794147325933401,0.712406064938219,0.5964417172218844,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Tomatoes","profit_category_VeryHigh, yield_category_VeryHigh",0.0986,0.1748,0.0752,0.7626774847870184,4.3631435056465575,1.0,0.057964720000000004,3.4771247863247874,0.8551225280768923,0.3794147325933401,0.712406064938219,0.5964417172218844,Agricultural Pattern,Farming practice association
crop_type_Tomatoes,"profit_category_VeryHigh, yield_category_VeryHigh",0.0986,0.1748,0.0752,0.7626774847870184,4.3631435056465575,1.0,0.057964720000000004,3.4771247863247874,0.8551225280768923,0.3794147325933401,0.712406064938219,0.5964417172218844,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, disease_pressure_Low",0.1044,0.1464,0.0638,0.611111111111111,4.174256223436551,1.0,0.04851583999999999,2.1949714285714284,0.8490803524300621,0.34117647058823525,0.5444132042070186,0.5234517304189434,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Cotton","yield_category_Low, disease_pressure_Low",0.1044,0.1464,0.0638,0.611111111111111,4.174256223436551,1.0,0.04851583999999999,2.1949714285714284,0.8490803524300621,0.34117647058823525,0.5444132042070186,0.5234517304189434,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, planting_season_Spring, disease_pressure_Low",0.1044,0.1464,0.0638,0.611111111111111,4.174256223436551,1.0,0.04851583999999999,2.1949714285714284,0.8490803524300621,0.34117647058823525,0.5444132042070186,0.5234517304189434,Agricultural Pattern,Farming practice association
crop_type_Tomatoes,"soil_ph_category_Neutral, yield_category_VeryHigh",0.0986,0.155,0.0634,0.6430020283975659,4.148400183210103,1.0,0.048117,2.366960227272727,0.8419605254777182,0.33333333333333337,0.5775171933699005,0.526017143231041,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Tomatoes","soil_ph_category_Neutral, yield_category_VeryHigh",0.0986,0.155,0.0634,0.6430020283975659,4.148400183210103,1.0,0.048117,2.366960227272727,0.8419605254777182,0.33333333333333337,0.5775171933699005,0.526017143231041,Agricultural Pattern,Farming practice association
crop_type_Tomatoes,"planting_season_Spring, soil_ph_category_Neutral, yield_category_VeryHigh",0.0986,0.155,0.0634,0.6430020283975659,4.148400183210103,1.0,0.048117,2.366960227272727,0.8419605254777182,0.33333333333333337,0.5775171933699005,0.526017143231041,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, nitrogen_content_category_High",0.1044,0.1536,0.066,0.632183908045977,4.115780651340996,1.0,0.04996416000000001,2.3011500000000003,0.8452799545251535,0.34375,0.5654346739673641,0.5309357040229885,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Cotton","yield_category_Low, nitrogen_content_category_High",0.1044,0.1536,0.066,0.632183908045977,4.115780651340996,1.0,0.04996416000000001,2.3011500000000003,0.8452799545251535,0.34375,0.5654346739673641,0.5309357040229885,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, planting_season_Spring, nitrogen_content_category_High",0.1044,0.1536,0.066,0.632183908045977,4.115780651340996,1.0,0.04996416000000001,2.3011500000000003,0.8452799545251535,0.34375,0.5654346739673641,0.5309357040229885,Agricultural Pattern,Farming practice association
"profit_category_Low, crop_type_Cotton","yield_category_Low, disease_pressure_Low",0.095,0.1464,0.0572,0.6021052631578947,4.112740868564854,1.0,0.043292,2.1452910052910052,0.836301819727234,0.31053203040173727,0.5338627731465496,0.49640782283577795,Agricultural Pattern,Farming practice association
"profit_category_Low, crop_type_Cotton","yield_category_Low, soil_ph_category_Neutral",0.095,0.1528,0.0592,0.6231578947368421,4.078258473408653,1.0,0.044684,2.2481564245810057,0.8340301627594444,0.31389183457051967,0.5551910938820139,0.5052962248553321,Agricultural Pattern,Farming practice association
crop_type_Tomatoes,"annual_rainfall_category_High, yield_category_VeryHigh",0.0986,0.1554,0.062,0.6288032454361056,4.04635293073427,1.0,0.04667756,2.2753431693989077,0.8352161870065918,0.3229166666666667,0.5605058553588746,0.5138868222032522,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Tomatoes","annual_rainfall_category_High, yield_category_VeryHigh",0.0986,0.1554,0.062,0.6288032454361056,4.04635293073427,1.0,0.04667756,2.2753431693989077,0.8352161870065918,0.3229166666666667,0.5605058553588746,0.5138868222032522,Agricultural Pattern,Farming practice association
crop_type_Tomatoes,"annual_rainfall_category_High, planting_season_Spring, yield_category_VeryHigh",0.0986,0.1554,0.062,0.6288032454361056,4.04635293073427,1.0,0.04667756,2.2753431693989077,0.8352161870065918,0.3229166666666667,0.5605058553588746,0.5138868222032522,Agricultural Pattern,Farming practice association
"profit_category_Low, crop_type_Cotton","yield_category_Low, nitrogen_content_category_High",0.095,0.1536,0.059,0.6210526315789473,4.043311403508772,1.0,0.044407999999999996,2.2335555555555553,0.8316883603333645,0.3111814345991561,0.5522833548900606,0.5025836074561403,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, soil_ph_category_Neutral",0.1044,0.1528,0.0642,0.614942528735632,4.024492989107539,1.0,0.048247679999999994,2.2001910447761186,0.8391262788377656,0.3326424870466321,0.5454940140883286,0.5175497983992297,Agricultural Pattern,Farming practice association
crop_type_Cotton,"yield_category_Low, planting_season_Spring, soil_ph_category_Neutral",0.1044,0.1528,0.0642,0.614942528735632,4.024492989107539,1.0,0.048247679999999994,2.2001910447761186,0.8391262788377656,0.3326424870466321,0.5454940140883286,0.5175497983992297,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Cotton","yield_category_Low, soil_ph_category_Neutral",0.1044,0.1528,0.0642,0.614942528735632,4.024492989107539,1.0,0.048247679999999994,2.2001910447761186,0.8391262788377656,0.3326424870466321,0.5454940140883286,0.5175497983992297,Agricultural Pattern,Farming practice association
"profit_category_Low, crop_type_Cotton","yield_category_Low, annual_rainfall_category_High",0.095,0.1648,0.0628,0.6610526315789473,4.011241696474195,1.0,0.04714399999999999,2.464099378881987,0.829503466235,0.31878172588832476,0.5941722121395443,0.5210602963719979,Agricultural Pattern,Farming practice association
"crop_type_Tomatoes, disease_pressure_Low","planting_season_Spring, yield_category_VeryHigh",0.062,0.25,0.062,1.0,4.0,1.0,0.0465,inf,0.7995735607675907,0.248,1.0,0.624,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Tomatoes, disease_pressure_Low",yield_category_VeryHigh,0.062,0.25,0.062,1.0,4.0,1.0,0.0465,inf,0.7995735607675907,0.248,1.0,0.624,Agricultural Pattern,Farming practice association
"crop_type_Tomatoes, disease_pressure_Low",yield_category_VeryHigh,0.062,0.25,0.062,1.0,4.0,1.0,0.0465,inf,0.7995735607675907,0.248,1.0,0.624,Agricultural Pattern,Farming practice association
"crop_type_Cotton, disease_pressure_Low",yield_category_Low,0.0638,0.2502,0.0638,1.0,3.9968025579536373,1.0,0.04783724,inf,0.8008972441785943,0.25499600319744203,1.0,0.627498001598721,Agricultural Pattern,Farming practice association
"crop_type_Cotton, annual_rainfall_category_High",yield_category_Low,0.0686,0.2502,0.0686,1.0,3.9968025579536373,1.0,0.05143628,inf,0.8050246940090187,0.2741806554756195,1.0,0.6370903277378097,Agricultural Pattern,Farming practice association
"pest_pressure_Low, planting_season_Spring, crop_type_Cotton",yield_category_Low,0.0532,0.2502,0.0532,1.0,3.9968025579536373,1.0,0.03988936,inf,0.7919307139839459,0.2126298960831335,1.0,0.6063149480415667,Agricultural Pattern,Farming practice association
"planting_season_Spring, soil_ph_category_Neutral, crop_type_Cotton",yield_category_Low,0.0642,0.2502,0.0642,1.0,3.9968025579536373,1.0,0.04813716,inf,0.8012395811070743,0.2565947242206235,1.0,0.6282973621103117,Agricultural Pattern,Farming practice association
"soil_ph_category_Neutral, crop_type_Cotton","yield_category_Low, planting_season_Spring",0.0642,0.2502,0.0642,1.0,3.9968025579536373,1.0,0.04813716,inf,0.8012395811070743,0.2565947242206235,1.0,0.6282973621103117,Agricultural Pattern,Farming practice association
"planting_season_Spring, profit_category_Low, crop_type_Cotton",yield_category_Low,0.095,0.2502,0.095,1.0,3.9968025579536373,1.0,0.071231,inf,0.8285082872928177,0.37969624300559557,1.0,0.6898481215027978,Agricultural Pattern,Farming practice association
"crop_type_Cotton, annual_rainfall_category_High","yield_category_Low, planting_season_Spring",0.0686,0.2502,0.0686,1.0,3.9968025579536373,1.0,0.05143628,inf,0.8050246940090187,0.2741806554756195,1.0,0.6370903277378097,Agricultural Pattern,Farming practice association
crop_type_Cotton,yield_category_Low,0.1044,0.2502,0.1044,1.0,3.9968025579536373,1.0,0.07827912000000001,inf,0.8372041089772221,0.4172661870503598,1.0,0.7086330935251799,Agricultural Pattern,Farming practice association
"planting_season_Spring, crop_type_Cotton, annual_rainfall_category_High",yield_category_Low,0.0686,0.2502,0.0686,1.0,3.9968025579536373,1.0,0.05143628,inf,0.8050246940090187,0.2741806554756195,1.0,0.6370903277378097,Agricultural Pattern,Farming practice association
"profit_category_Low, crop_type_Cotton, annual_rainfall_category_High",yield_category_Low,0.0628,0.2502,0.0628,1.0,3.9968025579536373,1.0,0.047087439999999994,inf,0.8000426803243704,0.2509992006394884,1.0,0.6254996003197442,Agricultural Pattern,Farming practice association
