support,itemsets
0.6518,['annual_rainfall_category_High']
0.1276,['annual_rainfall_category_Low']
0.2206,['annual_rainfall_category_Medium']
0.397,['avg_temperature_category_Cool']
0.4014,['avg_temperature_category_Moderate']
0.2016,['avg_temperature_category_Warm']
0.0924,['crop_type_Carrots']
0.1002,['crop_type_Corn']
0.1044,['crop_type_Cotton']
0.0948,['crop_type_Lettuce']
0.106,['crop_type_Onions']
0.1008,['crop_type_Potatoes']
0.1024,['crop_type_Rice']
0.0996,['crop_type_Soybeans']
0.0986,['crop_type_Tomatoes']
0.1008,['crop_type_Wheat']
0.1062,['disease_pressure_High']
0.5988,['disease_pressure_Low']
0.295,['disease_pressure_Medium']
0.134,['fertilizer_type_NPK_Balanced']
0.14,['fertilizer_type_Nitrogen_High']
0.1456,['fertilizer_type_No_Fertilizer']
0.1364,['fertilizer_type_Organic_Compost']
0.1516,['fertilizer_type_Phosphorus_High']
0.1382,['fertilizer_type_Potassium_High']
0.1542,['fertilizer_type_Urea']
0.1686,['irrigation_method_Drip_Irrigation']
0.162,['irrigation_method_Flood_Irrigation']
0.1648,['irrigation_method_Micro_Sprinkler']
0.1716,['irrigation_method_Rainfall_Only']
0.163,['irrigation_method_Sprinkler']
0.17,['irrigation_method_Subsurface_Drip']
0.6244,['nitrogen_content_category_High']
0.1608,['nitrogen_content_category_Low']
0.2148,['nitrogen_content_category_Medium']
0.3568,['organic_matter_percent_category_High']
0.2716,['organic_matter_percent_category_Low']
0.3716,['organic_matter_percent_category_Medium']
0.195,['pest_pressure_High']
0.5008,['pest_pressure_Low']
0.3042,['pest_pressure_Medium']
1.0,['planting_season_Spring']
0.25,['profit_category_High']
0.25,['profit_category_Low']
0.25,['profit_category_Medium']
0.25,['profit_category_VeryHigh']
0.1378,['region_California_Central_Valley']
0.1422,['region_Great_Plains']
0.1466,['region_Midwest']
0.1376,['region_Northeast']
0.1446,['region_Pacific_Northwest']
0.1506,['region_Southeast']
0.1406,['region_Southwest']
0.3944,['soil_ph_category_Alkaline']
0.6044,['soil_ph_category_Neutral']
0.1596,['soil_type_Clay']
0.1666,['soil_type_Clayey_Loam']
0.1734,['soil_type_Loam']
0.168,['soil_type_Sandy']
0.1604,['soil_type_Sandy_Loam']
0.172,['soil_type_Silt']
0.1686,['tillage_type_Conventional_Till']
0.1646,['tillage_type_Deep_Till']
0.1582,['tillage_type_Minimum_Till']
0.1722,['tillage_type_No_Till']
0.1762,['tillage_type_Reduced_Till']
0.1602,['tillage_type_Strip_Till']
0.25,['yield_category_High']
0.2502,['yield_category_Low']
0.2498,['yield_category_Medium']
0.25,['yield_category_VeryHigh']
0.2566,"['avg_temperature_category_Cool', 'annual_rainfall_category_High']"
0.2654,"['avg_temperature_category_Moderate', 'annual_rainfall_category_High']"
0.1298,"['avg_temperature_category_Warm', 'annual_rainfall_category_High']"
0.0588,"['crop_type_Carrots', 'annual_rainfall_category_High']"
0.0656,"['crop_type_Corn', 'annual_rainfall_category_High']"
0.0686,"['crop_type_Cotton', 'annual_rainfall_category_High']"
0.062,"['crop_type_Lettuce', 'annual_rainfall_category_High']"
0.069,"['crop_type_Onions', 'annual_rainfall_category_High']"
0.063,"['crop_type_Potatoes', 'annual_rainfall_category_High']"
0.0682,"['crop_type_Rice', 'annual_rainfall_category_High']"
0.0662,"['crop_type_Soybeans', 'annual_rainfall_category_High']"
0.0626,"['crop_type_Tomatoes', 'annual_rainfall_category_High']"
0.0678,"['crop_type_Wheat', 'annual_rainfall_category_High']"
0.0674,"['disease_pressure_High', 'annual_rainfall_category_High']"
0.3904,"['disease_pressure_Low', 'annual_rainfall_category_High']"
0.194,"['disease_pressure_Medium', 'annual_rainfall_category_High']"
0.084,"['fertilizer_type_NPK_Balanced', 'annual_rainfall_category_High']"
0.091,"['fertilizer_type_Nitrogen_High', 'annual_rainfall_category_High']"
0.0902,"['fertilizer_type_No_Fertilizer', 'annual_rainfall_category_High']"
0.0938,"['fertilizer_type_Organic_Compost', 'annual_rainfall_category_High']"
0.0994,"['fertilizer_type_Phosphorus_High', 'annual_rainfall_category_High']"
0.0928,"['fertilizer_type_Potassium_High', 'annual_rainfall_category_High']"
0.1006,"['fertilizer_type_Urea', 'annual_rainfall_category_High']"
0.1098,"['irrigation_method_Drip_Irrigation', 'annual_rainfall_category_High']"
0.1034,"['irrigation_method_Flood_Irrigation', 'annual_rainfall_category_High']"
0.1088,"['irrigation_method_Micro_Sprinkler', 'annual_rainfall_category_High']"
0.1102,"['irrigation_method_Rainfall_Only', 'annual_rainfall_category_High']"
0.107,"['irrigation_method_Sprinkler', 'annual_rainfall_category_High']"
0.1126,"['irrigation_method_Subsurface_Drip', 'annual_rainfall_category_High']"
0.4006,"['nitrogen_content_category_High', 'annual_rainfall_category_High']"
0.1082,"['nitrogen_content_category_Low', 'annual_rainfall_category_High']"
0.143,"['nitrogen_content_category_Medium', 'annual_rainfall_category_High']"
0.232,"['organic_matter_percent_category_High', 'annual_rainfall_category_High']"
0.1804,"['organic_matter_percent_category_Low', 'annual_rainfall_category_High']"
0.2394,"['organic_matter_percent_category_Medium', 'annual_rainfall_category_High']"
0.1314,"['pest_pressure_High', 'annual_rainfall_category_High']"
0.3198,"['pest_pressure_Low', 'annual_rainfall_category_High']"
0.2006,"['pest_pressure_Medium', 'annual_rainfall_category_High']"
0.6518,"['planting_season_Spring', 'annual_rainfall_category_High']"
0.1642,"['profit_category_High', 'annual_rainfall_category_High']"
0.164,"['profit_category_Low', 'annual_rainfall_category_High']"
0.166,"['profit_category_Medium', 'annual_rainfall_category_High']"
0.1576,"['profit_category_VeryHigh', 'annual_rainfall_category_High']"
0.09,"['region_California_Central_Valley', 'annual_rainfall_category_High']"
0.0914,"['region_Great_Plains', 'annual_rainfall_category_High']"
0.0956,"['region_Midwest', 'annual_rainfall_category_High']"
0.0874,"['region_Northeast', 'annual_rainfall_category_High']"
0.097,"['region_Pacific_Northwest', 'annual_rainfall_category_High']"
0.0996,"['region_Southeast', 'annual_rainfall_category_High']"
0.0908,"['region_Southwest', 'annual_rainfall_category_High']"
0.2594,"['soil_ph_category_Alkaline', 'annual_rainfall_category_High']"
0.3912,"['soil_ph_category_Neutral', 'annual_rainfall_category_High']"
0.1078,"['soil_type_Clay', 'annual_rainfall_category_High']"
0.1122,"['soil_type_Clayey_Loam', 'annual_rainfall_category_High']"
0.1152,"['soil_type_Loam', 'annual_rainfall_category_High']"
0.1088,"['soil_type_Sandy', 'annual_rainfall_category_High']"
0.0982,"['soil_type_Sandy_Loam', 'annual_rainfall_category_High']"
0.1096,"['soil_type_Silt', 'annual_rainfall_category_High']"
0.111,"['tillage_type_Conventional_Till', 'annual_rainfall_category_High']"
0.107,"['tillage_type_Deep_Till', 'annual_rainfall_category_High']"
0.1032,"['tillage_type_Minimum_Till', 'annual_rainfall_category_High']"
0.1126,"['tillage_type_No_Till', 'annual_rainfall_category_High']"
0.118,"['tillage_type_Reduced_Till', 'annual_rainfall_category_High']"
0.1,"['tillage_type_Strip_Till', 'annual_rainfall_category_High']"
0.1652,"['yield_category_High', 'annual_rainfall_category_High']"
0.1648,"['yield_category_Low', 'annual_rainfall_category_High']"
0.1664,"['yield_category_Medium', 'annual_rainfall_category_High']"
0.1554,"['yield_category_VeryHigh', 'annual_rainfall_category_High']"
0.054,"['avg_temperature_category_Cool', 'annual_rainfall_category_Low']"
0.0764,"['disease_pressure_Low', 'annual_rainfall_category_Low']"
0.0838,"['annual_rainfall_category_Low', 'nitrogen_content_category_High']"
0.051,"['organic_matter_percent_category_Medium', 'annual_rainfall_category_Low']"
0.0684,"['pest_pressure_Low', 'annual_rainfall_category_Low']"
0.1276,"['planting_season_Spring', 'annual_rainfall_category_Low']"
0.078,"['soil_ph_category_Neutral', 'annual_rainfall_category_Low']"
0.0864,"['annual_rainfall_category_Medium', 'avg_temperature_category_Cool']"
0.0882,"['annual_rainfall_category_Medium', 'avg_temperature_category_Moderate']"
0.132,"['annual_rainfall_category_Medium', 'disease_pressure_Low']"
0.0626,"['annual_rainfall_category_Medium', 'disease_pressure_Medium']"
0.14,"['annual_rainfall_category_Medium', 'nitrogen_content_category_High']"
0.082,"['organic_matter_percent_category_High', 'annual_rainfall_category_Medium']"
0.0574,"['annual_rainfall_category_Medium', 'organic_matter_percent_category_Low']"
0.0812,"['organic_matter_percent_category_Medium', 'annual_rainfall_category_Medium']"
0.1126,"['pest_pressure_Low', 'annual_rainfall_category_Medium']"
0.0646,"['pest_pressure_Medium', 'annual_rainfall_category_Medium']"
0.2206,"['planting_season_Spring', 'annual_rainfall_category_Medium']"
0.0544,"['annual_rainfall_category_Medium', 'profit_category_High']"
0.0534,"['profit_category_Low', 'annual_rainfall_category_Medium']"
0.051,"['annual_rainfall_category_Medium', 'profit_category_Medium']"
0.0618,"['profit_category_VeryHigh', 'annual_rainfall_category_Medium']"
0.0854,"['soil_ph_category_Alkaline', 'annual_rainfall_category_Medium']"
0.1352,"['soil_ph_category_Neutral', 'annual_rainfall_category_Medium']"
0.0534,"['yield_category_High', 'annual_rainfall_category_Medium']"
0.0534,"['yield_category_Low', 'annual_rainfall_category_Medium']"
0.064,"['annual_rainfall_category_Medium', 'yield_category_VeryHigh']"
0.2338,"['disease_pressure_Low', 'avg_temperature_category_Cool']"
0.1144,"['disease_pressure_Medium', 'avg_temperature_category_Cool']"
0.0558,"['fertilizer_type_NPK_Balanced', 'avg_temperature_category_Cool']"
0.055,"['avg_temperature_category_Cool', 'fertilizer_type_Nitrogen_High']"
0.0578,"['avg_temperature_category_Cool', 'fertilizer_type_No_Fertilizer']"
