farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2,pH_soil_ph,OrganicMatter_organic_matter_percent,Nitrogen_nitrogen_content,Phosphorus_phosphorus_content,Potassium_potassium_content,Rainfall_annual_rainfall,Temperature_avg_temperature,Yield_yield_per_hectare,Profit_profit_per_hectare,WaterUsage_water_usage_mm,CarbonFootprint_carbon_footprint_kg_co2,planting_month,planting_season,growing_days,growing_period_category,profit_margin,profit_margin_category,cost_efficiency,cost_efficiency_category,water_efficiency,water_efficiency_category,carbon_efficiency,carbon_efficiency_category,sustainable_practices_count,sustainability_level,elevation_category,humidity_category,solar_radiation_category
FARM_00001,FIELD_FARM_00001_1,California_Central_Valley,38.982715,-121.266261,1169.5,Clayey_Loam,6.2,2.71,17.9,70.6,200.3,18.1,157.2,83.6,27.5,Soybeans,Maturity_Group_3,2023-05-22,2023-10-19,Phosphorus_High,95.9,Drip_Irrigation,1,Strip_Till,55.0,Low,Low,No,1.98,888.53,988.57,100.04,1951.9,429.6,Neutral,Medium,Low,High,High,Low,Moderate,Low,Medium,nan,Medium,5,Spring,150,Long,10.119667802988156,Medium,0.0022283997163854907,Low,0.0010143962293150263,None,0.004608938547486033,Low,2,High,Mountain,Humid,VeryHigh
FARM_00002,FIELD_FARM_00002_1,Midwest,39.464504,-89.418924,255.8,Sandy,6.92,2.43,30.6,31.3,74.4,10.7,864.1,45.5,22.4,Lettuce,Lettuce_Standard,2023-03-08,2023-06-09,Potassium_High,106.4,Subsurface_Drip,8,Strip_Till,2.0,Low,High,Yes,22.63,1078.23,34248.28,33170.04,184.5,281.1,Neutral,Medium,Medium,Medium,Low,High,Cool,VeryHigh,VeryHigh,Low,Low,3,Spring,93,Medium,96.85169590998439,High,0.020988100869016812,VeryHigh,0.12265582655826558,High,0.08050515830665243,VeryHigh,0,Low,Rolling,Dry,High
FARM_00003,FIELD_FARM_00003_3,Midwest,48.61172,-83.731188,1121.0,Clayey_Loam,6.76,5.39,50.2,29.3,124.1,8.7,609.4,59.1,20.9,Beans,Beans_Standard,2023-03-08,2023-07-10,No_Fertilizer,0.0,Subsurface_Drip,11,Reduced_Till,52.1,Medium,High,No,1.87,778.92,551.99,-226.93,196.2,282.6,Neutral,High,High,Medium,Medium,Medium,Cool,Low,Low,Low,Low,3,Spring,124,Long,-41.11125201543506,Loss,0.002400760026703641,Low,0.009531090723751275,Low,0.006617126680820948,Low,1,Medium,Mountain,Moderate,Moderate
FARM_00004,FIELD_FARM_00004_2,Southwest,32.65069,-97.496405,708.3,Clayey_Loam,7.26,5.0,49.4,26.5,114.0,18.2,484.3,45.0,21.6,Wheat,Durum_Wheat,2023-09-04,2024-01-01,No_Fertilizer,0.0,Drip_Irrigation,1,Strip_Till,125.0,Medium,Low,Yes,5.98,1270.79,1801.42,530.64,2268.1,241.2,Alkaline,High,High,Medium,Medium,Medium,Moderate,Medium,Medium,nan,Low,9,Fall,119,Medium,29.45676188784403,High,0.004705734228314671,High,0.002636568052555002,None,0.02479270315091211,High,1,Medium,Highland,Dry,Moderate
FARM_00005,FIELD_FARM_00005_2,Southwest,27.621285,-112.088192,1324.9,Sandy,5.68,1.21,22.8,29.0,211.9,18.0,341.0,53.7,17.5,Lettuce,Lettuce_Standard,2023-02-19,2023-06-30,Nitrogen_High,135.4,Sprinkler,4,Deep_Till,2.4,Low,Medium,Yes,11.59,1002.88,15969.68,14966.8,887.8,618.6,Neutral,Low,Medium,Medium,High,Low,Moderate,High,VeryHigh,High,High,2,Winter,131,Long,93.72009958872061,High,0.011556716656030632,High,0.013054742059022302,Low,0.01873585515680569,High,0,Low,Mountain,Moderate,Low
FARM_00006,FIELD_FARM_00006_2,Midwest,41.66781,-80.561241,616.6,Clayey_Loam,6.45,4.29,43.0,47.2,161.9,10.2,955.6,43.6,20.5,Corn,Flint_Corn,2023-04-06,2023-07-26,NPK_Balanced,132.8,Rainfall_Only,0,Strip_Till,20.9,High,Low,Yes,7.61,959.06,1229.51,270.44,0.0,381.8,Neutral,High,High,Medium,Medium,High,Cool,High,Medium,Low,Medium,4,Spring,111,Medium,21.99575440622687,Medium,0.007934852876775176,High,0.0,None,0.019931901519119957,High,0,Low,Highland,Dry,Moderate
FARM_00007,FIELD_FARM_00007_1,Northeast,42.440662,-78.653528,1410.8,Sandy,6.76,1.85,24.5,24.6,185.4,10.2,837.1,47.9,29.7,Potatoes,Red,2023-04-05,2023-08-09,Potassium_High,147.5,Subsurface_Drip,13,Minimum_Till,2188.7,Low,Medium,No,51.45,6448.28,17302.17,10853.89,113.1,294.0,Neutral,Low,Medium,Low,Medium,High,Cool,VeryHigh,VeryHigh,Low,Low,4,Spring,126,Long,62.73137993673627,High,0.007978871885215903,High,0.4549071618037136,High,0.17500000000000002,VeryHigh,1,Medium,Mountain,Dry,VeryHigh
FARM_00008,FIELD_FARM_00008_5,Great_Plains,44.365836,-95.870387,558.4,Clay,7.0,2.52,18.4,48.4,223.0,12.6,412.1,72.0,18.6,Corn,Flint_Corn,2023-05-19,2023-09-07,Nitrogen_High,128.9,Drip_Irrigation,2,No_Till,22.4,High,Low,No,7.2,865.77,1616.03,750.26,1156.4,549.9,Neutral,Medium,Low,Medium,High,Medium,Cool,High,High,nan,Medium,5,Spring,111,Medium,46.42611832701126,High,0.008316296475969369,High,0.006226219301279833,Low,0.01309328968903437,Medium,3,VeryHigh,Highland,Humid,Moderate
FARM_00009,FIELD_FARM_00009_1,Southwest,33.669425,-116.296057,36.5,Clay,6.07,5.98,52.2,29.6,270.9,22.5,581.2,54.9,23.3,Wheat,Durum_Wheat,2023-11-21,2024-03-21,NPK_Balanced,157.4,Drip_Irrigation,2,Strip_Till,111.2,Low,Low,No,9.36,1083.76,2116.35,1032.59,1157.8,434.0,Neutral,High,High,Medium,High,Medium,Moderate,High,High,nan,Medium,11,Fall,121,Long,48.79107898031989,High,0.008636598508894958,High,0.008084297806184143,Low,0.021566820276497693,High,2,High,Lowland,Moderate,High
FARM_00010,FIELD_FARM_00010_5,California_Central_Valley,37.591648,-118.490508,1111.2,Clay,6.2,4.98,45.9,30.8,154.9,16.8,364.0,43.7,15.1,Beans,Beans_Standard,2023-04-12,2023-08-30,Organic_Compost,1805.6,Drip_Irrigation,2,Minimum_Till,47.5,Medium,Medium,Yes,1.95,1684.96,720.27,-964.69,892.7,228.3,Neutral,High,High,Medium,Medium,Low,Moderate,Low,Low,High,Low,4,Spring,140,Long,-133.9344967859275,nan,0.0011572975026113378,Low,0.0021843844516634928,None,0.008541392904073587,Medium,2,High,Mountain,Dry,Low
