farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00001,FIELD_FARM_00001_1,California_Central_Valley,38.982715,-121.266261,1169.5,Clayey_Loam,6.2,2.71,17.9,70.6,200.3,18.1,157.2,83.6,27.5,Soybeans,Maturity_Group_3,2023-05-22,2023-10-19,Phosphorus_High,95.9,Drip_Irrigation,1,Strip_Till,55.0,Low,Low,No,1.98,888.53,988.57,100.04,1951.9,429.6
FARM_00002,FIELD_FARM_00002_1,Midwest,39.464504,-89.418924,255.8,Sandy,6.92,2.43,30.6,31.3,74.4,10.7,864.1,45.5,22.4,Lettuce,Lettuce_Standard,2023-03-08,2023-06-09,Potassium_High,106.4,Subsurface_Drip,8,Strip_Till,2.0,Low,High,Yes,22.63,1078.23,34248.28,33170.04,184.5,281.1
FARM_00003,FIELD_FARM_00003_3,Midwest,48.61172,-83.731188,1121.0,Clayey_Loam,6.76,5.39,50.2,29.3,124.1,8.7,609.4,59.1,20.9,Beans,Beans_Standard,2023-03-08,2023-07-10,No_Fertilizer,0.0,Subsurface_Drip,11,Reduced_Till,52.1,Medium,High,No,1.87,778.92,551.99,-226.93,196.2,282.6
FARM_00004,FIELD_FARM_00004_2,Southwest,32.65069,-97.496405,708.3,Clayey_Loam,7.26,5.0,49.4,26.5,114.0,18.2,484.3,45.0,21.6,Wheat,Durum_Wheat,2023-09-04,2024-01-01,No_Fertilizer,0.0,Drip_Irrigation,1,Strip_Till,125.0,Medium,Low,Yes,5.98,1270.79,1801.42,530.64,2268.1,241.2
FARM_00005,FIELD_FARM_00005_2,Southwest,27.621285,-112.088192,1324.9,Sandy,5.68,1.21,22.8,29.0,211.9,18.0,341.0,53.7,17.5,Lettuce,Lettuce_Standard,2023-02-19,2023-06-30,Nitrogen_High,135.4,Sprinkler,4,Deep_Till,2.4,Low,Medium,Yes,11.59,1002.88,15969.68,14966.8,887.8,618.6
FARM_00006,FIELD_FARM_00006_2,Midwest,41.66781,-80.561241,616.6,Clayey_Loam,6.45,4.29,43.0,47.2,161.9,10.2,955.6,43.6,20.5,Corn,Flint_Corn,2023-04-06,2023-07-26,NPK_Balanced,132.8,Rainfall_Only,0,Strip_Till,20.9,High,Low,Yes,7.61,959.06,1229.51,270.44,0.0,381.8
FARM_00007,FIELD_FARM_00007_1,Northeast,42.440662,-78.653528,1410.8,Sandy,6.76,1.85,24.5,24.6,185.4,10.2,837.1,47.9,29.7,Potatoes,Red,2023-04-05,2023-08-09,Potassium_High,147.5,Subsurface_Drip,13,Minimum_Till,2188.7,Low,Medium,No,51.45,6448.28,17302.17,10853.89,113.1,294.0
FARM_00008,FIELD_FARM_00008_5,Great_Plains,44.365836,-95.870387,558.4,Clay,7.0,2.52,18.4,48.4,223.0,12.6,412.1,72.0,18.6,Corn,Flint_Corn,2023-05-19,2023-09-07,Nitrogen_High,128.9,Drip_Irrigation,2,No_Till,22.4,High,Low,No,7.2,865.77,1616.03,750.26,1156.4,549.9
FARM_00009,FIELD_FARM_00009_1,Southwest,33.669425,-116.296057,36.5,Clay,6.07,5.98,52.2,29.6,270.9,22.5,581.2,54.9,23.3,Wheat,Durum_Wheat,2023-11-21,2024-03-21,NPK_Balanced,157.4,Drip_Irrigation,2,Strip_Till,111.2,Low,Low,No,9.36,1083.76,2116.35,1032.59,1157.8,434.0
FARM_00010,FIELD_FARM_00010_5,California_Central_Valley,37.591648,-118.490508,1111.2,Clay,6.2,4.98,45.9,30.8,154.9,16.8,364.0,43.7,15.1,Beans,Beans_Standard,2023-04-12,2023-08-30,Organic_Compost,1805.6,Drip_Irrigation,2,Minimum_Till,47.5,Medium,Medium,Yes,1.95,1684.96,720.27,-964.69,892.7,228.3
FARM_00011,FIELD_FARM_00011_4,California_Central_Valley,36.800953,-121.491758,783.4,Clayey_Loam,6.35,5.39,47.2,68.9,98.6,17.2,394.8,46.2,17.0,Soybeans,Maturity_Group_3,2023-06-19,2023-10-14,Organic_Compost,2292.9,Micro_Sprinkler,9,No_Till,54.0,Low,Low,No,2.76,1627.47,1268.93,-358.54,229.7,209.4
FARM_00012,FIELD_FARM_00012_1,Midwest,45.601974,-97.281586,1432.3,Clayey_Loam,6.8,3.58,28.6,34.9,239.5,8.1,669.6,42.1,15.6,Soybeans,Maturity_Group_3,2023-05-26,2023-10-10,Organic_Compost,2368.3,Drip_Irrigation,2,Strip_Till,56.3,Medium,Low,No,3.44,1444.86,1529.92,85.06,1129.3,260.3
FARM_00013,FIELD_FARM_00013_1,Midwest,44.393774,-87.58487,923.8,Sandy,5.54,1.67,27.2,50.3,147.0,10.6,875.0,64.6,29.1,Lettuce,Lettuce_Standard,2023-04-12,2023-08-08,Nitrogen_High,111.2,Subsurface_Drip,6,Conventional_Till,1.7,Low,Medium,Yes,23.66,1138.42,27552.0,26413.58,279.8,639.0
FARM_00014,FIELD_FARM_00014_1,Southeast,33.360846,-86.502772,1316.2,Silt,6.87,4.42,41.3,39.6,192.1,18.5,1385.3,45.7,18.8,Beans,Beans_Standard,2023-03-23,2023-07-03,No_Fertilizer,0.0,Subsurface_Drip,5,Deep_Till,44.8,Medium,Low,Yes,2.5,939.96,960.27,20.31,473.6,367.4
FARM_00015,FIELD_FARM_00015_2,Southwest,36.400744,-95.531178,860.2,Clayey_Loam,6.12,4.19,39.6,24.9,286.5,22.7,245.4,81.9,29.6,Tomatoes,Cherry,2023-05-11,2023-08-19,NPK_Balanced,100.1,Drip_Irrigation,2,Reduced_Till,0.4,High,High,No,29.0,798.02,23160.15,22362.14,1296.9,433.6
FARM_00016,FIELD_FARM_00016_2,Pacific_Northwest,42.593864,-110.200406,561.4,Clay,7.32,3.33,39.8,51.4,137.6,11.8,1411.5,57.0,25.6,Soybeans,Maturity_Group_3,2023-04-13,2023-08-30,Phosphorus_High,98.1,Rainfall_Only,0,Reduced_Till,49.4,Low,Low,No,3.99,845.57,2298.61,1453.04,0.0,308.7
