farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00003,FIELD_FARM_00003_3,Midwest,48.61172,-83.731188,1121.0,Clayey_Loam,6.76,5.39,50.2,29.3,124.1,8.7,609.4,59.1,20.9,Beans,Beans_Standard,2023-03-08,2023-07-10,No_Fertilizer,0.0,Subsurface_Drip,11,Reduced_Till,52.1,Medium,High,No,1.87,778.92,551.99,-226.93,196.2,282.6
FARM_00010,FIELD_FARM_00010_5,California_Central_Valley,37.591648,-118.490508,1111.2,Clay,6.2,4.98,45.9,30.8,154.9,16.8,364.0,43.7,15.1,Beans,Beans_Standard,2023-04-12,2023-08-30,Organic_Compost,1805.6,Drip_Irrigation,2,Minimum_Till,47.5,Medium,Medium,Yes,1.95,1684.96,720.27,-964.69,892.7,228.3
FARM_00014,FIELD_FARM_00014_1,Southeast,33.360846,-86.502772,1316.2,Silt,6.87,4.42,41.3,39.6,192.1,18.5,1385.3,45.7,18.8,Beans,Beans_Standard,2023-03-23,2023-07-03,No_Fertilizer,0.0,Subsurface_Drip,5,Deep_Till,44.8,Medium,Low,Yes,2.5,939.96,960.27,20.31,473.6,367.4
FARM_00024,FIELD_FARM_00024_2,Great_Plains,38.991332,-101.57277,1345.1,Loam,6.79,3.23,40.5,17.8,149.5,13.9,732.8,76.8,18.9,Beans,Beans_Standard,2023-03-02,2023-06-14,Urea,204.2,Subsurface_Drip,9,Minimum_Till,49.5,Low,Low,No,3.34,1016.18,858.52,-157.66,232.2,540.1
FARM_00026,FIELD_FARM_00026_5,Great_Plains,35.673325,-93.058797,1241.9,Clayey_Loam,6.26,2.74,20.2,67.0,216.3,12.1,479.4,79.5,20.9,Beans,Beans_Standard,2023-05-06,2023-09-05,No_Fertilizer,0.0,Rainfall_Only,0,Minimum_Till,50.1,Low,High,Yes,1.78,876.18,458.54,-417.65,0.0,176.4
FARM_00035,FIELD_FARM_00035_3,Southeast,32.479991,-91.298643,516.6,Clay,6.62,4.97,46.7,42.2,69.0,15.5,801.9,83.5,15.1,Beans,Beans_Standard,2023-05-17,2023-10-14,Potassium_High,140.9,Rainfall_Only,0,Reduced_Till,53.8,Medium,Low,No,3.3,867.09,1169.24,302.14,0.0,299.7
FARM_00038,FIELD_FARM_00038_4,California_Central_Valley,37.612596,-119.070913,5.0,Clayey_Loam,6.46,3.15,26.1,26.4,60.5,16.1,495.7,59.2,20.8,Beans,Beans_Standard,2023-04-05,2023-09-02,NPK_Balanced,111.2,Rainfall_Only,0,Reduced_Till,51.8,High,High,Yes,1.72,1095.7,429.97,-665.73,0.0,408.3
FARM_00043,FIELD_FARM_00043_3,Northeast,45.750591,-74.794331,1228.2,Loam,7.02,3.34,27.2,79.8,156.5,8.7,798.2,75.8,25.4,Beans,Beans_Standard,2023-04-11,2023-08-05,Phosphorus_High,122.1,Subsurface_Drip,12,Minimum_Till,59.3,Medium,High,Yes,2.01,1136.26,779.59,-356.67,154.4,451.5
FARM_00049,FIELD_FARM_00049_1,Midwest,41.472311,-83.102002,668.0,Clay,6.99,2.83,30.7,31.9,149.8,11.4,605.4,66.5,24.0,Beans,Beans_Standard,2023-04-03,2023-08-24,Organic_Compost,1603.7,Subsurface_Drip,13,Reduced_Till,50.4,Medium,Low,No,2.68,1277.21,710.51,-566.71,108.9,344.8
FARM_00054,FIELD_FARM_00054_5,Southwest,36.45592,-104.704514,570.1,Silt,7.7,2.88,20.1,44.0,114.2,19.7,322.9,76.1,23.1,Beans,Beans_Standard,2023-04-17,2023-07-28,Phosphorus_High,94.8,Sprinkler,5,Conventional_Till,42.4,Low,High,Yes,1.06,1201.77,283.78,-917.99,787.9,504.3
FARM_00066,FIELD_FARM_00066_3,Southeast,26.580745,-83.494623,1226.7,Loam,6.23,3.03,27.5,63.1,235.9,18.7,884.7,46.8,16.4,Beans,Beans_Standard,2023-05-08,2023-09-16,No_Fertilizer,0.0,Subsurface_Drip,9,Deep_Till,56.2,High,Low,Yes,2.22,1112.77,779.11,-333.66,259.0,407.9
FARM_00070,FIELD_FARM_00070_2,Southeast,35.912682,-81.813395,10.5,Clay,6.24,4.64,34.8,62.6,214.2,20.7,855.2,42.6,19.2,Beans,Beans_Standard,2023-04-24,2023-08-01,No_Fertilizer,0.0,Rainfall_Only,0,Strip_Till,55.2,Medium,Medium,Yes,2.22,620.8,833.3,212.5,0.0,111.2
FARM_00076,FIELD_FARM_00076_2,Great_Plains,45.332968,-92.713258,1265.6,Loam,6.95,2.38,27.6,32.8,221.6,10.3,387.4,78.5,18.4,Beans,Beans_Standard,2023-04-25,2023-09-08,No_Fertilizer,0.0,Micro_Sprinkler,7,Reduced_Till,44.3,Medium,Low,No,2.2,760.46,792.68,32.22,257.4,318.9
FARM_00083,FIELD_FARM_00083_3,Midwest,43.220343,-96.919023,729.0,Clayey_Loam,6.52,5.2,52.8,25.1,166.7,11.3,640.4,57.4,27.8,Beans,Beans_Standard,2023-03-06,2023-07-31,Potassium_High,126.5,Drip_Irrigation,2,No_Till,44.5,High,High,No,1.59,883.47,518.97,-364.5,968.8,291.3
FARM_00089,FIELD_FARM_00089_3,Midwest,39.898122,-103.944379,66.2,Silt,7.53,3.85,28.7,62.7,242.2,10.6,1059.7,78.1,24.2,Beans,Beans_Standard,2023-04-04,2023-08-01,No_Fertilizer,0.0,Rainfall_Only,0,Minimum_Till,46.1,Medium,Medium,No,2.16,492.13,551.95,59.82,0.0,172.1
FARM_00093,FIELD_FARM_00093_3,California_Central_Valley,39.719912,-120.924128,713.1,Loam,6.97,2.14,19.4,77.0,175.1,17.3,310.2,49.4,20.5,Beans,Beans_Standard,2023-03-18,2023-07-22,Nitrogen_High,179.0,Micro_Sprinkler,13,No_Till,57.0,Medium,Low,No,1.47,1090.66,488.16,-602.49,165.3,427.3
FARM_00094,FIELD_FARM_00094_2,California_Central_Valley,35.628621,-119.051614,1461.9,Silt,6.83,3.78,29.2,72.3,121.9,17.1,170.3,45.0,22.7,Beans,Beans_Standard,2023-04-13,2023-08-17,No_Fertilizer,0.0,Drip_Irrigation,1,Conventional_Till,56.8,Low,Low,No,2.22,951.19,731.49,-219.7,1482.5,325.3
FARM_00124,FIELD_FARM_00124_5,Great_Plains,39.28472,-96.27372,1184.1,Silt,6.47,3.19,21.6,76.0,68.7,11.8,564.9,84.3,17.5,Beans,Beans_Standard,2023-04-08,2023-08-04,NPK_Balanced,109.1,Rainfall_Only,0,Reduced_Till,42.6,Low,Low,No,2.5,711.51,901.83,190.32,0.0,365.0
FARM_00166,FIELD_FARM_00166_1,Great_Plains,37.739977,-92.516454,973.1,Clay,6.21,3.47,23.7,75.2,215.2,13.0,455.8,78.1,18.9,Beans,Beans_Standard,2023-03-05,2023-07-14,Potassium_High,99.8,Drip_Irrigation,2,Deep_Till,40.0,Medium,Low,No,3.6,1119.68,1336.19,216.5,1190.4,428.5
FARM_00178,FIELD_FARM_00178_5,Southwest,30.87743,-108.611645,501.7,Clayey_Loam,6.95,4.88,39.2,64.2,146.4,21.0,542.4,73.7,27.1,Beans,Beans_Standard,2023-05-07,2023-08-13,Phosphorus_High,89.7,Sprinkler,4,Strip_Till,54.7,High,Low,No,1.73,816.26,576.56,-239.7,581.1,371.9
FARM_00183,FIELD_FARM_00183_3,Great_Plains,36.389214,-97.99898,942.8,Clay,7.15,5.75,45.1,65.9,234.6,10.3,493.6,52.7,19.6,Beans,Beans_Standard,2023-03-23,2023-07-02,No_Fertilizer,0.0,Sprinkler,3,Strip_Till,52.6,High,Low,No,1.88,759.31,664.2,-95.11,983.1,260.8
FARM_00201,FIELD_FARM_00201_1,Midwest,42.545482,-90.449742,378.5,Loam,6.39,4.64,36.0,76.3,101.4,10.5,733.9,64.6,25.3,Beans,Beans_Standard,2023-05-16,2023-09-12,NPK_Balanced,98.3,Drip_Irrigation,1,No_Till,42.9,Medium,Medium,Yes,2.38,1139.3,869.35,-269.95,2156.7,358.9
FARM_00217,FIELD_FARM_00217_4,Great_Plains,41.823247,-95.248718,1419.3,Silt,7.06,2.13,13.3,23.1,58.1,13.0,661.7,46.1,27.5,Beans,Beans_Standard,2023-05-13,2023-08-15,NPK_Balanced,110.9,Rainfall_Only,0,Conventional_Till,49.8,Medium,High,Yes,1.19,992.66,294.74,-697.92,0.0,567.3
FARM_00248,FIELD_FARM_00248_5,Midwest,48.025421,-102.24066,1341.3,Clay,6.83,5.36,57.1,65.5,201.0,10.0,624.0,84.3,20.8,Beans,Beans_Standard,2023-04-04,2023-07-22,Potassium_High,129.8,Rainfall_Only,0,No_Till,49.1,High,High,No,1.4,861.4,393.16,-468.25,0.0,207.3
