farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00001,FIELD_FARM_00001_1,California_Central_Valley,38.982715,-121.266261,1169.5,Clayey_Loam,6.2,2.71,17.9,70.6,200.3,18.1,157.2,83.6,27.5,Soybeans,Maturity_Group_3,2023-05-22,2023-10-19,Phosphorus_High,95.9,Drip_Irrigation,1,Strip_Till,55.0,Low,Low,No,1.98,888.53,988.57,100.04,1951.9,429.6
FARM_00010,FIELD_FARM_00010_5,California_Central_Valley,37.591648,-118.490508,1111.2,Clay,6.2,4.98,45.9,30.8,154.9,16.8,364.0,43.7,15.1,Beans,Beans_Standard,2023-04-12,2023-08-30,Organic_Compost,1805.6,Drip_Irrigation,2,Minimum_Till,47.5,Medium,Medium,Yes,1.95,1684.96,720.27,-964.69,892.7,228.3
FARM_00011,FIELD_FARM_00011_4,California_Central_Valley,36.800953,-121.491758,783.4,Clayey_Loam,6.35,5.39,47.2,68.9,98.6,17.2,394.8,46.2,17.0,Soybeans,Maturity_Group_3,2023-06-19,2023-10-14,Organic_Compost,2292.9,Micro_Sprinkler,9,No_Till,54.0,Low,Low,No,2.76,1627.47,1268.93,-358.54,229.7,209.4
FARM_00027,FIELD_FARM_00027_3,California_Central_Valley,38.652746,-119.22513,250.1,Clayey_Loam,6.64,4.65,43.6,79.8,238.1,18.1,422.5,46.4,18.1,Soybeans,Maturity_Group_3,2023-04-22,2023-08-27,Phosphorus_High,102.2,Subsurface_Drip,12,Conventional_Till,57.1,Medium,Medium,No,3.22,1088.7,1716.66,627.96,115.5,509.3
FARM_00038,FIELD_FARM_00038_4,California_Central_Valley,37.612596,-119.070913,5.0,Clayey_Loam,6.46,3.15,26.1,26.4,60.5,16.1,495.7,59.2,20.8,Beans,Beans_Standard,2023-04-05,2023-09-02,NPK_Balanced,111.2,Rainfall_Only,0,Reduced_Till,51.8,High,High,Yes,1.72,1095.7,429.97,-665.73,0.0,408.3
FARM_00042,FIELD_FARM_00042_5,California_Central_Valley,36.883477,-121.96371,1228.0,Sandy_Loam,6.2,1.54,15.9,68.8,148.0,16.5,413.8,75.5,17.6,Carrots,Carrots_Standard,2023-04-17,2023-07-25,NPK_Balanced,127.9,Subsurface_Drip,12,No_Till,2.5,Low,High,No,29.26,967.39,10124.9,9157.51,188.6,356.3
FARM_00044,FIELD_FARM_00044_1,California_Central_Valley,38.729185,-121.198563,1302.2,Silt,7.1,3.18,31.3,21.1,100.9,16.3,203.8,60.4,23.0,Wheat,Durum_Wheat,2023-10-03,2024-01-20,Organic_Compost,2355.8,Drip_Irrigation,2,Strip_Till,119.1,Medium,Medium,Yes,4.21,1739.85,1185.59,-554.25,940.3,269.4
FARM_00051,FIELD_FARM_00051_3,California_Central_Valley,37.60865,-120.629386,798.4,Sandy_Loam,6.23,2.91,22.3,57.1,292.5,16.3,385.4,60.0,28.0,Carrots,Carrots_Standard,2023-05-23,2023-09-15,No_Fertilizer,0.0,Sprinkler,4,No_Till,2.4,Medium,High,Yes,14.33,904.62,6522.85,5618.23,653.2,234.0
FARM_00056,FIELD_FARM_00056_1,California_Central_Valley,37.676791,-121.286216,468.4,Loam,6.91,3.64,28.8,37.4,198.6,17.5,495.7,46.1,25.4,Wheat,Spring_Wheat,2023-09-11,2024-01-17,Urea,180.9,Drip_Irrigation,2,No_Till,135.3,Medium,Medium,Yes,4.89,1445.8,1095.57,-350.24,938.7,472.1
FARM_00062,FIELD_FARM_00062_1,California_Central_Valley,38.094741,-120.705998,1251.5,Clayey_Loam,7.27,4.85,53.0,44.1,77.4,17.6,309.0,78.0,16.5,Soybeans,Maturity_Group_3,2023-05-08,2023-09-09,Organic_Compost,1851.1,Sprinkler,4,Strip_Till,57.5,Low,High,Yes,1.65,1670.88,891.7,-779.18,587.4,273.5
FARM_00086,FIELD_FARM_00086_1,California_Central_Valley,37.202207,-120.790667,389.0,Loam,6.27,3.52,36.7,26.5,257.7,17.6,207.8,66.2,30.0,Corn,Flint_Corn,2023-05-17,2023-09-18,NPK_Balanced,159.7,Micro_Sprinkler,13,Strip_Till,26.2,Medium,Low,No,7.86,1088.92,1816.25,727.34,234.5,409.4
FARM_00093,FIELD_FARM_00093_3,California_Central_Valley,39.719912,-120.924128,713.1,Loam,6.97,2.14,19.4,77.0,175.1,17.3,310.2,49.4,20.5,Beans,Beans_Standard,2023-03-18,2023-07-22,Nitrogen_High,179.0,Micro_Sprinkler,13,No_Till,57.0,Medium,Low,No,1.47,1090.66,488.16,-602.49,165.3,427.3
