farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00017,FIELD_FARM_00017_5,Midwest,39.828913,-91.319117,654.5,Sandy,5.52,2.44,15.4,72.4,181.9,12.0,644.3,64.9,29.5,Carrots,Carrots_Standard,2023-04-15,2023-08-13,No_Fertilizer,0.0,Drip_Irrigation,1,No_Till,3.2,High,Low,Yes,23.79,881.62,10564.33,9682.71,1819.5,157.5
FARM_00020,FIELD_FARM_00020_5,Southeast,35.226178,-88.890888,841.4,Sandy_Loam,6.91,2.68,26.0,39.4,246.2,18.8,1444.0,80.6,24.3,Carrots,Carrots_Standard,2023-04-15,2023-08-09,Urea,150.9,Rainfall_Only,0,Conventional_Till,3.3,Medium,Low,No,36.4,781.27,16726.68,15945.41,0.0,671.2
FARM_00033,FIELD_FARM_00033_2,Midwest,43.847784,-91.701016,1112.5,Sandy,6.45,1.02,5.9,68.4,296.1,10.1,703.0,52.3,15.3,Carrots,Carrots_Standard,2023-03-06,2023-07-07,Organic_Compost,2065.0,Sprinkler,4,Strip_Till,3.2,Medium,Low,Yes,25.82,1489.09,9556.01,8066.92,850.4,299.3
FARM_00039,FIELD_FARM_00039_1,Pacific_Northwest,46.547527,-115.883948,769.0,Sandy,5.57,1.27,5.9,77.0,256.6,12.2,1722.5,49.7,22.8,Carrots,Carrots_Standard,2023-05-18,2023-09-02,Nitrogen_High,167.6,Rainfall_Only,0,Conventional_Till,2.6,High,Low,Yes,20.25,982.81,6851.73,5868.92,0.0,633.0
FARM_00042,FIELD_FARM_00042_5,California_Central_Valley,36.883477,-121.96371,1228.0,Sandy_Loam,6.2,1.54,15.9,68.8,148.0,16.5,413.8,75.5,17.6,Carrots,Carrots_Standard,2023-04-17,2023-07-25,NPK_Balanced,127.9,Subsurface_Drip,12,No_Till,2.5,Low,High,No,29.26,967.39,10124.9,9157.51,188.6,356.3
FARM_00050,FIELD_FARM_00050_5,Pacific_Northwest,45.734583,-113.273145,1058.1,Silt,7.58,3.4,33.0,12.4,296.7,9.5,885.4,42.3,24.6,Carrots,Carrots_Standard,2023-03-01,2023-07-17,Urea,210.2,Rainfall_Only,0,Reduced_Till,3.2,Low,Low,No,35.15,736.18,18089.3,17353.12,0.0,541.8
FARM_00051,FIELD_FARM_00051_3,California_Central_Valley,37.60865,-120.629386,798.4,Sandy_Loam,6.23,2.91,22.3,57.1,292.5,16.3,385.4,60.0,28.0,Carrots,Carrots_Standard,2023-05-23,2023-09-15,No_Fertilizer,0.0,Sprinkler,4,No_Till,2.4,Medium,High,Yes,14.33,904.62,6522.85,5618.23,653.2,234.0
FARM_00055,FIELD_FARM_00055_2,Great_Plains,46.283896,-96.296828,65.1,Sandy,5.67,0.51,11.8,46.1,198.4,13.2,623.3,47.9,20.4,Carrots,Carrots_Standard,2023-03-04,2023-07-21,Nitrogen_High,170.9,Sprinkler,5,Reduced_Till,3.4,Medium,Low,No,25.17,939.59,8898.67,7959.09,719.5,681.3
FARM_00067,FIELD_FARM_00067_2,Southeast,29.264615,-81.702455,831.3,Sandy_Loam,6.99,3.18,37.1,10.8,237.4,19.6,1342.7,74.0,27.6,Carrots,Carrots_Standard,2023-05-04,2023-08-21,Potassium_High,140.2,Subsurface_Drip,9,Strip_Till,2.7,Medium,Low,Yes,35.35,901.26,14054.66,13153.39,205.0,367.9
FARM_00072,FIELD_FARM_00072_1,Pacific_Northwest,48.020978,-114.157785,101.5,Sandy_Loam,6.57,2.73,21.3,69.3,157.2,9.6,1794.8,49.7,16.5,Carrots,Carrots_Standard,2023-05-08,2023-09-12,Organic_Compost,2367.7,Subsurface_Drip,7,Strip_Till,3.0,Medium,Low,Yes,34.29,1664.33,14534.3,12869.97,230.4,310.8
FARM_00103,FIELD_FARM_00103_5,Midwest,41.528136,-97.485474,188.0,Loam,7.5,3.22,25.1,63.4,185.6,8.6,828.4,58.7,26.3,Carrots,Carrots_Standard,2023-03-11,2023-07-10,Phosphorus_High,72.5,Subsurface_Drip,8,No_Till,2.7,High,Medium,Yes,31.22,1071.85,11066.67,9994.82,314.4,333.0
FARM_00108,FIELD_FARM_00108_4,California_Central_Valley,37.766895,-119.433472,1055.7,Sandy_Loam,6.15,2.85,31.9,52.7,128.2,16.8,359.2,79.0,29.2,Carrots,Carrots_Standard,2023-05-27,2023-09-15,Nitrogen_High,189.5,Sprinkler,6,Deep_Till,2.4,Medium,Medium,No,24.03,888.06,10491.77,9603.71,447.2,705.7
FARM_00114,FIELD_FARM_00114_1,California_Central_Valley,36.218647,-120.929597,503.5,Sandy_Loam,7.14,2.73,28.0,39.1,157.2,17.6,393.8,71.6,17.6,Carrots,Carrots_Standard,2023-04-01,2023-08-02,Phosphorus_High,71.3,Micro_Sprinkler,5,Deep_Till,3.5,Medium,High,Yes,27.76,971.59,13129.16,12157.57,542.6,610.1
FARM_00123,FIELD_FARM_00123_4,Northeast,40.363925,-79.555587,635.0,Sandy_Loam,7.08,2.73,21.8,58.3,199.2,9.0,1285.7,70.8,20.6,Carrots,Carrots_Standard,2023-03-10,2023-06-24,No_Fertilizer,0.0,Rainfall_Only,0,Reduced_Till,3.6,Medium,High,Yes,23.54,789.57,11378.93,10589.36,0.0,199.7
FARM_00125,FIELD_FARM_00125_4,Great_Plains,47.105225,-101.831046,124.1,Sandy,6.74,1.91,22.7,20.9,169.6,13.1,451.8,54.0,15.0,Carrots,Carrots_Standard,2023-05-10,2023-10-03,No_Fertilizer,0.0,Drip_Irrigation,2,No_Till,2.7,Medium,Medium,No,41.48,789.96,20426.68,19636.71,932.7,182.7
FARM_00137,FIELD_FARM_00137_2,Northeast,40.639619,-75.592438,64.6,Clayey_Loam,6.56,4.61,48.4,20.3,258.2,9.2,1206.8,59.4,20.7,Carrots,Carrots_Standard,2023-05-08,2023-10-02,Urea,201.7,Rainfall_Only,0,Conventional_Till,2.8,Medium,Low,Yes,43.55,1053.06,22345.62,21292.57,0.0,574.8
FARM_00139,FIELD_FARM_00139_1,California_Central_Valley,39.024819,-121.790435,239.4,Sandy,5.62,0.97,19.4,76.4,126.2,16.8,248.0,52.5,15.5,Carrots,Carrots_Standard,2023-03-19,2023-07-04,Urea,243.0,Micro_Sprinkler,10,Reduced_Till,3.3,Medium,Low,Yes,23.26,1149.0,7472.24,6323.24,180.6,633.8
FARM_00140,FIELD_FARM_00140_3,California_Central_Valley,36.35746,-118.383027,562.1,Sandy_Loam,6.07,1.69,16.7,21.4,105.4,17.0,240.8,43.9,16.3,Carrots,Carrots_Standard,2023-03-23,2023-07-06,Organic_Compost,1798.4,Micro_Sprinkler,8,Strip_Till,3.2,Medium,Low,Yes,25.49,1299.51,11072.39,9772.88,362.4,309.1
FARM_00155,FIELD_FARM_00155_5,Midwest,40.660749,-102.58146,1036.1,Clayey_Loam,7.23,2.67,24.0,48.8,69.2,8.0,1002.3,68.9,21.2,Carrots,Carrots_Standard,2023-03-04,2023-07-17,Nitrogen_High,194.0,Rainfall_Only,0,Strip_Till,2.4,High,Medium,No,23.45,766.01,8298.4,7532.39,0.0,352.8
FARM_00161,FIELD_FARM_00161_3,Northeast,46.322565,-79.655348,314.2,Clayey_Loam,6.88,2.99,34.1,63.2,128.1,8.5,825.8,83.9,24.7,Carrots,Carrots_Standard,2023-03-23,2023-07-21,Organic_Compost,2230.0,Rainfall_Only,0,Reduced_Till,3.6,Low,Low,No,48.04,1250.41,17358.41,16108.0,0.0,225.4
FARM_00163,FIELD_FARM_00163_1,Northeast,45.495586,-76.168222,1367.7,Sandy,6.92,1.87,16.6,45.0,211.4,9.1,772.0,54.0,27.0,Carrots,Carrots_Standard,2023-04-16,2023-08-04,Organic_Compost,2219.2,Sprinkler,5,Reduced_Till,2.7,High,High,Yes,19.72,1529.78,9237.42,7707.64,697.2,310.8
FARM_00164,FIELD_FARM_00164_2,Northeast,44.468454,-75.699961,1289.5,Clay,6.71,5.47,46.4,21.8,259.1,9.3,813.5,72.4,22.7,Carrots,Carrots_Standard,2023-05-20,2023-10-03,Nitrogen_High,114.5,Rainfall_Only,0,Deep_Till,3.4,Medium,Medium,Yes,49.67,846.72,19944.01,19097.29,0.0,692.7
