farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00008,FIELD_FARM_00008_5,Great_Plains,44.365836,-95.870387,558.4,Clay,7.0,2.52,18.4,48.4,223.0,12.6,412.1,72.0,18.6,Corn,Flint_Corn,2023-05-19,2023-09-07,Nitrogen_High,128.9,Drip_Irrigation,2,No_Till,22.4,High,Low,No,7.2,865.77,1616.03,750.26,1156.4,549.9
FARM_00024,FIELD_FARM_00024_2,Great_Plains,38.991332,-101.57277,1345.1,Loam,6.79,3.23,40.5,17.8,149.5,13.9,732.8,76.8,18.9,Beans,Beans_Standard,2023-03-02,2023-06-14,Urea,204.2,Subsurface_Drip,9,Minimum_Till,49.5,Low,Low,No,3.34,1016.18,858.52,-157.66,232.2,540.1
FARM_00026,FIELD_FARM_00026_5,Great_Plains,35.673325,-93.058797,1241.9,Clayey_Loam,6.26,2.74,20.2,67.0,216.3,12.1,479.4,79.5,20.9,Beans,Beans_Standard,2023-05-06,2023-09-05,No_Fertilizer,0.0,Rainfall_Only,0,Minimum_Till,50.1,Low,High,Yes,1.78,876.18,458.54,-417.65,0.0,176.4
FARM_00036,FIELD_FARM_00036_1,Great_Plains,48.728075,-91.352907,970.0,Loam,7.48,4.83,34.4,59.4,281.3,10.7,584.0,81.2,15.5,Corn,Flint_Corn,2023-05-23,2023-09-18,Nitrogen_High,147.7,Subsurface_Drip,11,Conventional_Till,28.6,Medium,Medium,No,10.39,1028.18,2244.88,1216.71,176.2,738.6
FARM_00055,FIELD_FARM_00055_2,Great_Plains,46.283896,-96.296828,65.1,Sandy,5.67,0.51,11.8,46.1,198.4,13.2,623.3,47.9,20.4,Carrots,Carrots_Standard,2023-03-04,2023-07-21,Nitrogen_High,170.9,Sprinkler,5,Reduced_Till,3.4,Medium,Low,No,25.17,939.59,8898.67,7959.09,719.5,681.3
FARM_00059,FIELD_FARM_00059_3,Great_Plains,47.871488,-97.042511,1488.2,Clayey_Loam,6.51,3.85,33.8,47.8,207.0,12.7,566.2,72.5,17.1,Wheat,Spring_Wheat,2023-11-02,2024-02-26,Nitrogen_High,167.5,Subsurface_Drip,8,Deep_Till,112.6,Medium,High,Yes,3.78,1502.15,821.78,-680.37,303.5,780.9
FARM_00073,FIELD_FARM_00073_5,Great_Plains,37.262677,-100.423093,1420.0,Sandy,6.63,1.62,19.0,16.6,135.9,11.1,495.4,75.9,20.6,Lettuce,Lettuce_Standard,2023-04-19,2023-07-22,Nitrogen_High,191.8,Subsurface_Drip,12,Conventional_Till,1.8,Low,Medium,No,20.87,1143.95,24988.62,23844.68,204.0,648.5
FARM_00076,FIELD_FARM_00076_2,Great_Plains,45.332968,-92.713258,1265.6,Loam,6.95,2.38,27.6,32.8,221.6,10.3,387.4,78.5,18.4,Beans,Beans_Standard,2023-04-25,2023-09-08,No_Fertilizer,0.0,Micro_Sprinkler,7,Reduced_Till,44.3,Medium,Low,No,2.2,760.46,792.68,32.22,257.4,318.9
FARM_00081,FIELD_FARM_00081_5,Great_Plains,38.889509,-92.56645,426.8,Clay,6.17,3.71,34.8,71.2,173.4,12.8,796.4,45.9,19.1,Corn,Flint_Corn,2023-03-13,2023-06-22,NPK_Balanced,143.6,Rainfall_Only,0,Deep_Till,23.0,Medium,High,Yes,8.73,1039.65,2120.91,1081.26,0.0,448.9
FARM_00124,FIELD_FARM_00124_5,Great_Plains,39.28472,-96.27372,1184.1,Silt,6.47,3.19,21.6,76.0,68.7,11.8,564.9,84.3,17.5,Beans,Beans_Standard,2023-04-08,2023-08-04,NPK_Balanced,109.1,Rainfall_Only,0,Reduced_Till,42.6,Low,Low,No,2.5,711.51,901.83,190.32,0.0,365.0
FARM_00125,FIELD_FARM_00125_4,Great_Plains,47.105225,-101.831046,124.1,Sandy,6.74,1.91,22.7,20.9,169.6,13.1,451.8,54.0,15.0,Carrots,Carrots_Standard,2023-05-10,2023-10-03,No_Fertilizer,0.0,Drip_Irrigation,2,No_Till,2.7,Medium,Medium,No,41.48,789.96,20426.68,19636.71,932.7,182.7
FARM_00127,FIELD_FARM_00127_3,Great_Plains,46.965848,-101.685768,1281.4,Loam,6.27,4.48,36.5,74.9,292.5,12.3,371.5,56.9,27.0,Wheat,Durum_Wheat,2023-11-05,2024-03-25,NPK_Balanced,143.5,Drip_Irrigation,2,Reduced_Till,106.6,Medium,Medium,No,4.53,1240.02,1246.14,6.11,768.7,480.1
FARM_00166,FIELD_FARM_00166_1,Great_Plains,37.739977,-92.516454,973.1,Clay,6.21,3.47,23.7,75.2,215.2,13.0,455.8,78.1,18.9,Beans,Beans_Standard,2023-03-05,2023-07-14,Potassium_High,99.8,Drip_Irrigation,2,Deep_Till,40.0,Medium,Low,No,3.6,1119.68,1336.19,216.5,1190.4,428.5
FARM_00168,FIELD_FARM_00168_4,Great_Plains,45.955002,-91.588965,598.0,Sandy,5.65,1.91,17.2,10.5,150.9,10.9,709.4,55.2,27.4,Carrots,Carrots_Standard,2023-03-24,2023-08-07,Nitrogen_High,121.6,Sprinkler,3,No_Till,2.9,Low,Low,No,36.44,924.85,15254.92,14330.08,943.0,438.2
FARM_00175,FIELD_FARM_00175_2,Great_Plains,39.086756,-93.519478,723.9,Loam,7.45,4.15,47.3,39.9,168.8,13.6,562.5,71.8,18.8,Soybeans,Maturity_Group_3,2023-05-10,2023-08-16,Phosphorus_High,91.5,Rainfall_Only,0,Strip_Till,56.0,Low,Low,No,4.56,938.85,2148.24,1209.39,0.0,302.5
FARM_00183,FIELD_FARM_00183_3,Great_Plains,36.389214,-97.99898,942.8,Clay,7.15,5.75,45.1,65.9,234.6,10.3,493.6,52.7,19.6,Beans,Beans_Standard,2023-03-23,2023-07-02,No_Fertilizer,0.0,Sprinkler,3,Strip_Till,52.6,High,Low,No,1.88,759.31,664.2,-95.11,983.1,260.8
