farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00007,FIELD_FARM_00007_1,Northeast,42.440662,-78.653528,1410.8,Sandy,6.76,1.85,24.5,24.6,185.4,10.2,837.1,47.9,29.7,Potatoes,Red,2023-04-05,2023-08-09,Potassium_High,147.5,Subsurface_Drip,13,Minimum_Till,2188.7,Low,Medium,No,51.45,6448.28,17302.17,10853.89,113.1,294.0
FARM_00019,FIELD_FARM_00019_1,Northeast,43.98357,-79.110834,55.2,Clay,6.02,2.76,30.9,47.4,237.5,11.5,1051.1,72.7,26.4,Rice,Long_Grain,2023-04-01,2023-08-19,NPK_Balanced,112.4,Rainfall_Only,0,No_Till,35.3,High,Medium,Yes,5.03,816.56,2089.09,1272.53,0.0,396.4
FARM_00022,FIELD_FARM_00022_5,Northeast,40.275185,-68.808254,941.9,Sandy_Loam,6.02,2.25,13.1,70.8,71.1,9.6,1291.8,64.1,28.9,Peas,Peas_Standard,2023-04-13,2023-08-06,Phosphorus_High,72.2,Subsurface_Drip,11,Minimum_Till,45.0,Medium,High,Yes,0.9,1106.23,269.78,-836.45,135.9,427.0
FARM_00037,FIELD_FARM_00037_1,Northeast,42.379125,-69.853265,98.0,Clay,6.81,4.82,48.3,46.4,156.7,11.3,950.5,60.8,29.9,Wheat,Durum_Wheat,2023-11-07,2024-03-21,Organic_Compost,1820.9,Rainfall_Only,0,Reduced_Till,132.8,Medium,Low,No,6.88,1573.54,2038.12,464.58,0.0,217.6
FARM_00040,FIELD_FARM_00040_3,Northeast,41.910716,-73.326524,66.6,Sandy,6.79,2.12,25.1,48.6,71.7,8.5,923.6,51.7,25.9,Peas,Peas_Standard,2023-03-28,2023-06-30,Phosphorus_High,129.5,Rainfall_Only,0,Strip_Till,41.2,High,Medium,No,1.43,875.94,458.41,-417.54,0.0,320.8
FARM_00043,FIELD_FARM_00043_3,Northeast,45.750591,-74.794331,1228.2,Loam,7.02,3.34,27.2,79.8,156.5,8.7,798.2,75.8,25.4,Beans,Beans_Standard,2023-04-11,2023-08-05,Phosphorus_High,122.1,Subsurface_Drip,12,Minimum_Till,59.3,Medium,High,Yes,2.01,1136.26,779.59,-356.67,154.4,451.5
FARM_00045,FIELD_FARM_00045_4,Northeast,46.89046,-77.905871,696.9,Sandy_Loam,6.35,2.46,26.7,30.4,223.7,11.2,1167.9,41.8,22.2,Potatoes,Russet,2023-04-15,2023-07-29,Potassium_High,118.7,Rainfall_Only,0,Minimum_Till,2210.3,Low,Medium,No,36.93,6179.88,13752.16,7572.29,0.0,208.3
FARM_00047,FIELD_FARM_00047_1,Northeast,45.073786,-71.694099,975.4,Clay,7.31,3.27,40.7,33.6,95.5,10.7,1095.2,62.4,23.3,Soybeans,Maturity_Group_4,2023-06-03,2023-09-28,Organic_Compost,1639.5,Rainfall_Only,0,No_Till,64.3,Low,Low,No,3.93,1263.13,2059.53,796.4,0.0,164.6
FARM_00064,FIELD_FARM_00064_3,Northeast,42.884917,-72.305375,1245.8,Sandy,5.53,0.66,19.7,30.7,242.3,9.7,929.2,49.3,16.8,Peas,Peas_Standard,2023-03-26,2023-08-17,NPK_Balanced,94.3,Subsurface_Drip,9,No_Till,59.4,Low,Low,Yes,1.42,1187.64,471.32,-716.32,172.9,359.7
FARM_00077,FIELD_FARM_00077_2,Northeast,46.350365,-70.609748,840.7,Loam,6.58,3.14,24.6,36.7,82.2,8.5,1181.4,61.6,15.3,Peas,Peas_Standard,2023-03-19,2023-08-01,Phosphorus_High,124.6,Subsurface_Drip,13,Minimum_Till,55.1,High,High,Yes,1.21,1234.86,406.97,-827.89,146.2,346.1
