farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00016,FIELD_FARM_00016_2,Pacific_Northwest,42.593864,-110.200406,561.4,Clay,7.32,3.33,39.8,51.4,137.6,11.8,1411.5,57.0,25.6,Soybeans,Maturity_Group_3,2023-04-13,2023-08-30,Phosphorus_High,98.1,Rainfall_Only,0,Reduced_Till,49.4,Low,Low,No,3.99,845.57,2298.61,1453.04,0.0,308.7
FARM_00025,FIELD_FARM_00025_4,Pacific_Northwest,45.542728,-111.019785,481.0,Loam,6.08,3.01,21.8,14.4,297.5,10.3,2100.7,51.5,25.2,Corn,Dent_Corn,2023-05-03,2023-08-30,Nitrogen_High,114.6,Rainfall_Only,0,Minimum_Till,28.5,Medium,Low,No,9.12,645.29,1805.05,1159.75,0.0,526.8
FARM_00029,FIELD_FARM_00029_2,Pacific_Northwest,43.158644,-122.205187,1256.2,Clay,7.3,4.32,41.4,37.9,63.7,10.3,2086.0,40.2,20.0,Rice,Long_Grain,2023-04-07,2023-07-23,NPK_Balanced,128.5,Subsurface_Drip,7,Minimum_Till,46.7,Low,Medium,Yes,5.46,1230.32,2049.39,819.07,233.0,433.7
FARM_00031,FIELD_FARM_00031_3,Pacific_Northwest,42.528524,-113.701307,408.5,Loam,6.97,3.23,21.3,20.9,229.0,11.6,456.9,50.0,18.5,Wheat,Durum_Wheat,2023-09-15,2024-01-19,Organic_Compost,1614.3,Rainfall_Only,0,Minimum_Till,127.3,Low,Low,No,6.59,1434.31,2001.25,566.94,0.0,191.8
FARM_00032,FIELD_FARM_00032_3,Pacific_Northwest,42.987573,-118.904115,486.0,Sandy,5.52,0.67,5.0,11.9,95.4,11.3,1285.0,80.2,27.3,Lettuce,Lettuce_Standard,2023-04-23,2023-08-02,Phosphorus_High,119.8,Subsurface_Drip,13,Reduced_Till,1.9,Medium,Low,No,17.73,846.48,26258.21,25411.72,149.6,480.5
FARM_00039,FIELD_FARM_00039_1,Pacific_Northwest,46.547527,-115.883948,769.0,Sandy,5.57,1.27,5.9,77.0,256.6,12.2,1722.5,49.7,22.8,Carrots,Carrots_Standard,2023-05-18,2023-09-02,Nitrogen_High,167.6,Rainfall_Only,0,Conventional_Till,2.6,High,Low,Yes,20.25,982.81,6851.73,5868.92,0.0,633.0
FARM_00046,FIELD_FARM_00046_5,Pacific_Northwest,42.550049,-119.046151,199.1,Sandy,6.53,2.1,15.8,21.7,76.1,11.5,1883.6,41.4,29.0,Lettuce,Lettuce_Standard,2023-03-28,2023-07-15,No_Fertilizer,0.0,Rainfall_Only,0,Conventional_Till,2.3,Low,High,Yes,11.04,782.98,14090.15,13307.17,0.0,273.2
FARM_00050,FIELD_FARM_00050_5,Pacific_Northwest,45.734583,-113.273145,1058.1,Silt,7.58,3.4,33.0,12.4,296.7,9.5,885.4,42.3,24.6,Carrots,Carrots_Standard,2023-03-01,2023-07-17,Urea,210.2,Rainfall_Only,0,Reduced_Till,3.2,Low,Low,No,35.15,736.18,18089.3,17353.12,0.0,541.8
FARM_00052,FIELD_FARM_00052_5,Pacific_Northwest,46.668801,-116.342221,522.9,Sandy,7.0,0.6,19.3,38.5,267.7,12.1,1590.7,73.2,28.2,Potatoes,Red,2023-04-02,2023-07-18,Nitrogen_High,184.0,Subsurface_Drip,5,Reduced_Till,2317.2,Low,Medium,Yes,29.83,6876.63,10269.47,3392.84,365.8,553.4
FARM_00061,FIELD_FARM_00061_2,Pacific_Northwest,42.849695,-120.450873,151.6,Silt,7.19,3.58,28.2,26.3,105.2,9.7,1777.0,78.2,25.9,Wheat,Durum_Wheat,2023-11-27,2024-03-23,Urea,197.8,Rainfall_Only,0,Reduced_Till,104.5,Low,High,Yes,3.61,1246.13,985.97,-260.17,0.0,563.0
