farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00001,FIELD_FARM_00001_1,California_Central_Valley,38.982715,-121.266261,1169.5,Clayey_Loam,6.2,2.71,17.9,70.6,200.3,18.1,157.2,83.6,27.5,Soybeans,Maturity_Group_3,2023-05-22,2023-10-19,Phosphorus_High,95.9,Drip_Irrigation,1,Strip_Till,55.0,Low,Low,No,1.98,888.53,988.57,100.04,1951.9,429.6
FARM_00011,FIELD_FARM_00011_4,California_Central_Valley,36.800953,-121.491758,783.4,Clayey_Loam,6.35,5.39,47.2,68.9,98.6,17.2,394.8,46.2,17.0,Soybeans,Maturity_Group_3,2023-06-19,2023-10-14,Organic_Compost,2292.9,Micro_Sprinkler,9,No_Till,54.0,Low,Low,No,2.76,1627.47,1268.93,-358.54,229.7,209.4
FARM_00012,FIELD_FARM_00012_1,Midwest,45.601974,-97.281586,1432.3,Clayey_Loam,6.8,3.58,28.6,34.9,239.5,8.1,669.6,42.1,15.6,Soybeans,Maturity_Group_3,2023-05-26,2023-10-10,Organic_Compost,2368.3,Drip_Irrigation,2,Strip_Till,56.3,Medium,Low,No,3.44,1444.86,1529.92,85.06,1129.3,260.3
FARM_00016,FIELD_FARM_00016_2,Pacific_Northwest,42.593864,-110.200406,561.4,Clay,7.32,3.33,39.8,51.4,137.6,11.8,1411.5,57.0,25.6,Soybeans,Maturity_Group_3,2023-04-13,2023-08-30,Phosphorus_High,98.1,Rainfall_Only,0,Reduced_Till,49.4,Low,Low,No,3.99,845.57,2298.61,1453.04,0.0,308.7
FARM_00021,FIELD_FARM_00021_2,Southeast,36.119052,-90.744395,387.4,Clayey_Loam,7.27,3.83,32.2,54.3,110.0,15.5,903.1,45.8,17.3,Soybeans,Maturity_Group_2,2023-04-18,2023-09-15,Phosphorus_High,81.5,Subsurface_Drip,9,Reduced_Till,49.0,Low,Low,Yes,3.7,1115.69,2076.85,961.16,169.3,386.8
FARM_00027,FIELD_FARM_00027_3,California_Central_Valley,38.652746,-119.22513,250.1,Clayey_Loam,6.64,4.65,43.6,79.8,238.1,18.1,422.5,46.4,18.1,Soybeans,Maturity_Group_3,2023-04-22,2023-08-27,Phosphorus_High,102.2,Subsurface_Drip,12,Conventional_Till,57.1,Medium,Medium,No,3.22,1088.7,1716.66,627.96,115.5,509.3
FARM_00047,FIELD_FARM_00047_1,Northeast,45.073786,-71.694099,975.4,Clay,7.31,3.27,40.7,33.6,95.5,10.7,1095.2,62.4,23.3,Soybeans,Maturity_Group_4,2023-06-03,2023-09-28,Organic_Compost,1639.5,Rainfall_Only,0,No_Till,64.3,Low,Low,No,3.93,1263.13,2059.53,796.4,0.0,164.6
FARM_00048,FIELD_FARM_00048_4,Southwest,32.545178,-102.204141,1151.6,Silt,6.26,4.17,39.9,40.7,231.3,20.9,549.4,80.5,21.3,Soybeans,Maturity_Group_4,2023-04-12,2023-07-13,Phosphorus_High,107.4,Sprinkler,5,Minimum_Till,63.2,Low,Medium,Yes,3.4,1111.72,1616.2,504.48,597.1,347.6
FARM_00053,FIELD_FARM_00053_3,Midwest,44.456869,-93.333933,22.0,Loam,6.91,4.0,39.4,42.4,144.9,11.5,911.4,61.6,15.4,Soybeans,Maturity_Group_2,2023-06-12,2023-10-15,Organic_Compost,2129.5,Rainfall_Only,0,Deep_Till,66.4,High,Medium,No,1.85,1363.47,667.77,-695.7,0.0,370.6
FARM_00062,FIELD_FARM_00062_1,California_Central_Valley,38.094741,-120.705998,1251.5,Clayey_Loam,7.27,4.85,53.0,44.1,77.4,17.6,309.0,78.0,16.5,Soybeans,Maturity_Group_3,2023-05-08,2023-09-09,Organic_Compost,1851.1,Sprinkler,4,Strip_Till,57.5,Low,High,Yes,1.65,1670.88,891.7,-779.18,587.4,273.5
FARM_00065,FIELD_FARM_00065_4,Midwest,48.280836,-98.609225,558.3,Loam,6.83,3.17,23.6,29.2,282.1,10.7,897.6,40.6,29.9,Soybeans,Maturity_Group_3,2023-04-15,2023-07-31,Phosphorus_High,108.2,Subsurface_Drip,12,Strip_Till,53.3,Medium,Medium,Yes,2.42,1239.87,1015.99,-223.88,167.2,403.7
FARM_00079,FIELD_FARM_00079_4,Pacific_Northwest,42.657001,-111.355598,1003.8,Clay,6.1,5.85,42.3,58.6,70.6,12.6,1375.3,46.2,20.1,Soybeans,Maturity_Group_2,2023-05-20,2023-10-13,Organic_Compost,2243.2,Rainfall_Only,0,Reduced_Till,53.7,Medium,Low,Yes,3.58,1650.62,1770.63,120.01,0.0,246.9
FARM_00087,FIELD_FARM_00087_3,Northeast,46.366182,-69.889995,800.1,Silt,6.26,3.86,36.9,14.0,220.2,8.8,720.7,83.6,29.2,Soybeans,Maturity_Group_3,2023-05-11,2023-09-10,Phosphorus_High,103.8,Subsurface_Drip,13,Conventional_Till,58.6,Low,Medium,No,3.21,1105.15,1590.22,485.06,159.0,550.1
FARM_00092,FIELD_FARM_00092_5,Pacific_Northwest,48.58314,-123.759268,1396.3,Clay,6.54,3.45,39.4,31.9,247.2,12.6,1311.0,80.9,20.7,Soybeans,Maturity_Group_4,2023-04-01,2023-08-28,Phosphorus_High,108.0,Rainfall_Only,0,Conventional_Till,64.9,Low,Low,No,3.87,1063.99,2056.72,992.73,0.0,472.1
FARM_00096,FIELD_FARM_00096_4,Pacific_Northwest,44.786037,-120.456264,98.5,Clay,7.41,4.61,41.4,14.2,217.9,11.3,2479.4,50.8,23.0,Soybeans,Maturity_Group_3,2023-05-09,2023-08-23,Phosphorus_High,83.5,Subsurface_Drip,13,Strip_Till,52.7,Medium,Medium,No,1.94,1100.37,978.17,-122.21,140.7,395.8
FARM_00102,FIELD_FARM_00102_5,Southeast,34.897454,-90.014558,694.9,Clayey_Loam,6.37,3.6,24.6,19.0,241.4,15.0,1133.3,63.5,15.8,Soybeans,Maturity_Group_4,2023-06-19,2023-10-08,Phosphorus_High,113.8,Rainfall_Only,0,Deep_Till,71.2,Low,Medium,No,3.72,975.44,1593.75,618.31,0.0,418.6
FARM_00116,FIELD_FARM_00116_1,Southeast,25.803683,-78.802136,584.1,Clay,7.11,5.47,49.7,78.7,162.6,18.1,1591.4,50.4,29.1,Soybeans,Maturity_Group_2,2023-05-08,2023-10-03,Phosphorus_High,112.4,Rainfall_Only,0,Minimum_Till,57.0,Low,Low,No,4.68,799.83,2559.5,1759.66,0.0,341.1
FARM_00117,FIELD_FARM_00117_2,Midwest,39.053135,-84.692129,1159.2,Clay,6.87,3.99,37.9,46.5,137.6,10.7,1055.1,40.7,18.1,Soybeans,Maturity_Group_2,2023-06-28,2023-10-01,Phosphorus_High,115.0,Rainfall_Only,0,No_Till,69.8,Medium,Medium,No,3.4,870.63,1706.76,836.12,0.0,215.6
