crop,soil_conditions,confidence,lift
Carrots,pH_soil_ph_Neutral,1.0,15.29051987767584
Carrots,pH_soil_ph_Neutral,1.0,15.29051987767584
Carrots,pH_soil_ph_Neutral,1.0,12.437810945273633
Carrots,pH_soil_ph_Neutral,1.0,12.437810945273633
Carrots,pH_soil_ph_Neutral,1.0,7.633587786259541
Lettuce,pH_soil_ph_Neutral,1.0,12.406947890818858
Lettuce,pH_soil_ph_Neutral,1.0,12.376237623762377
Lettuce,pH_soil_ph_Neutral,1.0,12.376237623762377
Lettuce,pH_soil_ph_Neutral,1.0,12.376237623762377
Lettuce,pH_soil_ph_Neutral,1.0,12.376237623762377
Potatoes,pH_soil_ph_Neutral,1.0,1.3089005235602094
Potatoes,pH_soil_ph_Neutral,1.0,1.3089005235602094
Potatoes,pH_soil_ph_Neutral,1.0,1.3089005235602094
Potatoes,pH_soil_ph_Neutral,1.0,1.3089005235602094
Potatoes,pH_soil_ph_Neutral,1.0,1.3089005235602094
Beans,pH_soil_ph_Neutral,1.0,9.00900900900901
Beans,pH_soil_ph_Neutral,1.0,9.00900900900901
Beans,pH_soil_ph_Neutral,1.0,9.00900900900901
Beans,pH_soil_ph_Neutral,1.0,9.00900900900901
Beans,pH_soil_ph_Neutral,1.0,9.00900900900901
Wheat,pH_soil_ph_Neutral,1.0,6.410256410256411
Wheat,"pH_soil_ph_Neutral, Nitrogen_nitrogen_content_Medium",1.0,6.410256410256411
Wheat,pH_soil_ph_Neutral,1.0,6.410256410256411
Wheat,pH_soil_ph_Neutral,1.0,6.410256410256411
Wheat,pH_soil_ph_Neutral,1.0,6.410256410256411
Corn,pH_soil_ph_Neutral,1.0,2.1321961620469083
Corn,pH_soil_ph_Neutral,1.0,1.8621973929236495
Corn,pH_soil_ph_Neutral,1.0,1.8621973929236495
Corn,pH_soil_ph_Neutral,1.0,1.8621973929236495
Corn,pH_soil_ph_Neutral,1.0,1.3089005235602094
Soybeans,pH_soil_ph_Neutral,0.7142857142857142,1.2856114367993416
