practices,sustainability_outcome,confidence,lift,environmental_benefit
"Yield_yield_per_hectare_High, irrigation_method_Rainfall_Only","CarbonFootprint_carbon_footprint_kg_co2_Medium, carbon_efficiency_category_High, water_efficiency_category_None",0.6008403361344538,8.707830958470344,Improved water conservation and efficiency
"Yield_yield_per_hectare_High, irrigation_method_Rainfall_Only","CarbonFootprint_carbon_footprint_kg_co2_Medium, carbon_efficiency_category_High, WaterUsage_water_usage_mm_Low",0.6008403361344538,7.644279085680073,Reduced carbon footprint and greenhouse gas emissions
"Yield_yield_per_hectare_High, irrigation_method_Rainfall_Only","carbon_efficiency_category_High, water_efficiency_category_None, profit_margin_category_High",0.6470588235294118,7.612456747404845,Improved water conservation and efficiency
"Yield_yield_per_hectare_High, irrigation_method_Rainfall_Only","carbon_efficiency_category_High, water_efficiency_category_None, planting_season_Spring",0.6092436974789917,7.503001200480194,Improved water conservation and efficiency
"cost_efficiency_category_VeryHigh, irrigation_method_Subsurface_Drip","water_efficiency_category_High, profit_margin_category_High",0.9961685823754788,7.445206146304027,Improved water conservation and efficiency
"Profit_profit_per_hectare_VeryHigh, irrigation_method_Subsurface_Drip","water_efficiency_category_High, profit_margin_category_High",0.9819494584837544,7.338934667292634,Improved water conservation and efficiency
"Yield_yield_per_hectare_VeryHigh, irrigation_method_Subsurface_Drip","water_efficiency_category_High, planting_season_Spring",0.9781818181818182,7.171420954412157,Improved water conservation and efficiency
"Profit_profit_per_hectare_High, crop_type_Corn","cost_efficiency_category_High, carbon_efficiency_category_High, planting_season_Spring",0.6563307493540053,6.982242014404311,Reduced carbon footprint and greenhouse gas emissions
"carbon_efficiency_category_VeryHigh, irrigation_method_Subsurface_Drip","water_efficiency_category_High, planting_season_Spring",0.9505703422053232,6.968990778631402,Improved water conservation and efficiency
"Yield_yield_per_hectare_VeryHigh, irrigation_method_Subsurface_Drip","water_efficiency_category_High, profit_margin_category_High",0.9090909090909092,6.794401413235494,Improved water conservation and efficiency
