farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00006,FIELD_FARM_00006_2,Midwest,41.66781,-80.561241,616.6,Clayey_Loam,6.45,4.29,43.0,47.2,161.9,10.2,955.6,43.6,20.5,Corn,Flint_Corn,2023-04-06,2023-07-26,NPK_Balanced,132.8,Rainfall_Only,0,Strip_Till,20.9,High,Low,Yes,7.61,959.06,1229.51,270.44,0.0,381.8
FARM_00008,FIELD_FARM_00008_5,Great_Plains,44.365836,-95.870387,558.4,Clay,7.0,2.52,18.4,48.4,223.0,12.6,412.1,72.0,18.6,Corn,Flint_Corn,2023-05-19,2023-09-07,Nitrogen_High,128.9,Drip_Irrigation,2,No_Till,22.4,High,Low,No,7.2,865.77,1616.03,750.26,1156.4,549.9
FARM_00025,FIELD_FARM_00025_4,Pacific_Northwest,45.542728,-111.019785,481.0,Loam,6.08,3.01,21.8,14.4,297.5,10.3,2100.7,51.5,25.2,Corn,Dent_Corn,2023-05-03,2023-08-30,Nitrogen_High,114.6,Rainfall_Only,0,Minimum_Till,28.5,Medium,Low,No,9.12,645.29,1805.05,1159.75,0.0,526.8
FARM_00028,FIELD_FARM_00028_1,Southwest,31.512693,-117.194229,518.5,Loam,7.44,3.03,23.8,39.7,122.0,21.7,564.7,46.3,16.5,Corn,Flint_Corn,2023-03-24,2023-07-28,NPK_Balanced,146.2,Rainfall_Only,0,Reduced_Till,21.5,Medium,Medium,Yes,10.73,1113.62,2200.13,1086.51,0.0,359.3
FARM_00036,FIELD_FARM_00036_1,Great_Plains,48.728075,-91.352907,970.0,Loam,7.48,4.83,34.4,59.4,281.3,10.7,584.0,81.2,15.5,Corn,Flint_Corn,2023-05-23,2023-09-18,Nitrogen_High,147.7,Subsurface_Drip,11,Conventional_Till,28.6,Medium,Medium,No,10.39,1028.18,2244.88,1216.71,176.2,738.6
FARM_00068,FIELD_FARM_00068_3,Pacific_Northwest,46.496279,-124.027196,870.0,Silt,7.1,3.51,36.6,66.3,117.5,12.3,1446.3,43.5,15.9,Corn,Sweet_Corn,2023-05-16,2023-09-27,NPK_Balanced,102.5,Subsurface_Drip,11,Strip_Till,23.3,Low,Low,Yes,13.56,1183.53,2575.38,1391.85,143.3,495.9
FARM_00074,FIELD_FARM_00074_2,Southeast,30.371235,-88.707574,249.1,Loam,6.54,4.69,35.9,45.5,199.5,15.2,1091.0,73.0,27.3,Corn,Sweet_Corn,2023-03-12,2023-06-20,NPK_Balanced,130.4,Subsurface_Drip,11,Reduced_Till,29.7,Low,Medium,Yes,13.06,1258.12,2258.34,1000.22,198.2,431.2
FARM_00075,FIELD_FARM_00075_5,Southwest,33.632243,-97.402,119.1,Clayey_Loam,7.27,3.31,27.4,74.3,77.7,22.6,595.2,80.6,24.8,Corn,Dent_Corn,2023-05-12,2023-09-06,NPK_Balanced,132.0,Sprinkler,6,Minimum_Till,22.4,High,Low,Yes,7.26,1009.55,1704.54,695.0,572.6,545.2
FARM_00078,FIELD_FARM_00078_4,Pacific_Northwest,45.784889,-123.551983,362.8,Clay,6.7,3.55,35.4,30.8,125.0,12.0,501.1,80.6,27.8,Corn,Dent_Corn,2023-05-23,2023-09-05,NPK_Balanced,109.7,Sprinkler,4,No_Till,27.9,Medium,Low,No,11.21,910.1,2076.35,1166.25,655.3,467.8
FARM_00081,FIELD_FARM_00081_5,Great_Plains,38.889509,-92.56645,426.8,Clay,6.17,3.71,34.8,71.2,173.4,12.8,796.4,45.9,19.1,Corn,Flint_Corn,2023-03-13,2023-06-22,NPK_Balanced,143.6,Rainfall_Only,0,Deep_Till,23.0,Medium,High,Yes,8.73,1039.65,2120.91,1081.26,0.0,448.9
FARM_00082,FIELD_FARM_00082_2,Southwest,33.239079,-121.450883,575.8,Silt,6.79,2.3,21.8,62.6,67.8,18.5,341.9,82.4,25.0,Corn,Sweet_Corn,2023-03-10,2023-06-21,NPK_Balanced,140.6,Micro_Sprinkler,13,Reduced_Till,29.1,Low,Low,No,10.13,994.63,2460.76,1466.13,244.0,592.2
FARM_00086,FIELD_FARM_00086_1,California_Central_Valley,37.202207,-120.790667,389.0,Loam,6.27,3.52,36.7,26.5,257.7,17.6,207.8,66.2,30.0,Corn,Flint_Corn,2023-05-17,2023-09-18,NPK_Balanced,159.7,Micro_Sprinkler,13,Strip_Till,26.2,Medium,Low,No,7.86,1088.92,1816.25,727.34,234.5,409.4
