farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00002,FIELD_FARM_00002_1,Midwest,39.464504,-89.418924,255.8,Sandy,6.92,2.43,30.6,31.3,74.4,10.7,864.1,45.5,22.4,Lettuce,Lettuce_Standard,2023-03-08,2023-06-09,Potassium_High,106.4,Subsurface_Drip,8,Strip_Till,2.0,Low,High,Yes,22.63,1078.23,34248.28,33170.04,184.5,281.1
FARM_00003,FIELD_FARM_00003_3,Midwest,48.61172,-83.731188,1121.0,Clayey_Loam,6.76,5.39,50.2,29.3,124.1,8.7,609.4,59.1,20.9,Beans,Beans_Standard,2023-03-08,2023-07-10,No_Fertilizer,0.0,Subsurface_Drip,11,Reduced_Till,52.1,Medium,High,No,1.87,778.92,551.99,-226.93,196.2,282.6
FARM_00006,FIELD_FARM_00006_2,Midwest,41.66781,-80.561241,616.6,Clayey_Loam,6.45,4.29,43.0,47.2,161.9,10.2,955.6,43.6,20.5,Corn,Flint_Corn,2023-04-06,2023-07-26,NPK_Balanced,132.8,Rainfall_Only,0,Strip_Till,20.9,High,Low,Yes,7.61,959.06,1229.51,270.44,0.0,381.8
FARM_00012,FIELD_FARM_00012_1,Midwest,45.601974,-97.281586,1432.3,Clayey_Loam,6.8,3.58,28.6,34.9,239.5,8.1,669.6,42.1,15.6,Soybeans,Maturity_Group_3,2023-05-26,2023-10-10,Organic_Compost,2368.3,Drip_Irrigation,2,Strip_Till,56.3,Medium,Low,No,3.44,1444.86,1529.92,85.06,1129.3,260.3
FARM_00013,FIELD_FARM_00013_1,Midwest,44.393774,-87.58487,923.8,Sandy,5.54,1.67,27.2,50.3,147.0,10.6,875.0,64.6,29.1,Lettuce,Lettuce_Standard,2023-04-12,2023-08-08,Nitrogen_High,111.2,Subsurface_Drip,6,Conventional_Till,1.7,Low,Medium,Yes,23.66,1138.42,27552.0,26413.58,279.8,639.0
FARM_00017,FIELD_FARM_00017_5,Midwest,39.828913,-91.319117,654.5,Sandy,5.52,2.44,15.4,72.4,181.9,12.0,644.3,64.9,29.5,Carrots,Carrots_Standard,2023-04-15,2023-08-13,No_Fertilizer,0.0,Drip_Irrigation,1,No_Till,3.2,High,Low,Yes,23.79,881.62,10564.33,9682.71,1819.5,157.5
FARM_00030,FIELD_FARM_00030_4,Midwest,40.78036,-80.934312,223.0,Sandy_Loam,7.0,2.57,19.3,31.0,127.5,9.6,856.1,76.0,20.2,Peas,Peas_Standard,2023-04-16,2023-08-23,Organic_Compost,2104.9,Rainfall_Only,0,Deep_Till,45.9,Medium,Medium,No,1.41,1395.29,501.98,-893.31,0.0,294.4
FARM_00033,FIELD_FARM_00033_2,Midwest,43.847784,-91.701016,1112.5,Sandy,6.45,1.02,5.9,68.4,296.1,10.1,703.0,52.3,15.3,Carrots,Carrots_Standard,2023-03-06,2023-07-07,Organic_Compost,2065.0,Sprinkler,4,Strip_Till,3.2,Medium,Low,Yes,25.82,1489.09,9556.01,8066.92,850.4,299.3
FARM_00041,FIELD_FARM_00041_3,Midwest,47.7863,-84.861775,987.7,Clay,6.24,3.06,26.2,26.7,282.5,8.4,1019.4,48.5,28.2,Wheat,Spring_Wheat,2023-10-11,2024-03-01,Nitrogen_High,171.9,Rainfall_Only,0,Conventional_Till,103.7,High,High,Yes,2.38,1215.11,767.64,-447.48,0.0,579.0
FARM_00049,FIELD_FARM_00049_1,Midwest,41.472311,-83.102002,668.0,Clay,6.99,2.83,30.7,31.9,149.8,11.4,605.4,66.5,24.0,Beans,Beans_Standard,2023-04-03,2023-08-24,Organic_Compost,1603.7,Subsurface_Drip,13,Reduced_Till,50.4,Medium,Low,No,2.68,1277.21,710.51,-566.71,108.9,344.8
FARM_00053,FIELD_FARM_00053_3,Midwest,44.456869,-93.333933,22.0,Loam,6.91,4.0,39.4,42.4,144.9,11.5,911.4,61.6,15.4,Soybeans,Maturity_Group_2,2023-06-12,2023-10-15,Organic_Compost,2129.5,Rainfall_Only,0,Deep_Till,66.4,High,Medium,No,1.85,1363.47,667.77,-695.7,0.0,370.6
FARM_00057,FIELD_FARM_00057_1,Midwest,45.171558,-93.382162,1247.8,Silt,7.48,2.58,26.5,71.6,212.7,10.1,794.6,55.0,25.0,Wheat,Spring_Wheat,2023-10-23,2024-02-19,Urea,180.0,Drip_Irrigation,2,Reduced_Till,123.9,High,Low,Yes,3.39,1280.99,868.7,-412.29,1211.4,568.1
FARM_00065,FIELD_FARM_00065_4,Midwest,48.280836,-98.609225,558.3,Loam,6.83,3.17,23.6,29.2,282.1,10.7,897.6,40.6,29.9,Soybeans,Maturity_Group_3,2023-04-15,2023-07-31,Phosphorus_High,108.2,Subsurface_Drip,12,Strip_Till,53.3,Medium,Medium,Yes,2.42,1239.87,1015.99,-223.88,167.2,403.7
FARM_00080,FIELD_FARM_00080_3,Midwest,41.689589,-94.232674,1337.2,Sandy,6.04,1.44,7.5,19.8,119.2,11.9,798.8,61.7,17.9,Lettuce,Lettuce_Standard,2023-02-06,2023-06-24,Organic_Compost,1409.2,Rainfall_Only,0,No_Till,1.8,Low,Low,No,22.2,948.81,28136.27,27187.46,0.0,137.6
FARM_00083,FIELD_FARM_00083_3,Midwest,43.220343,-96.919023,729.0,Clayey_Loam,6.52,5.2,52.8,25.1,166.7,11.3,640.4,57.4,27.8,Beans,Beans_Standard,2023-03-06,2023-07-31,Potassium_High,126.5,Drip_Irrigation,2,No_Till,44.5,High,High,No,1.59,883.47,518.97,-364.5,968.8,291.3
FARM_00089,FIELD_FARM_00089_3,Midwest,39.898122,-103.944379,66.2,Silt,7.53,3.85,28.7,62.7,242.2,10.6,1059.7,78.1,24.2,Beans,Beans_Standard,2023-04-04,2023-08-01,No_Fertilizer,0.0,Rainfall_Only,0,Minimum_Till,46.1,Medium,Medium,No,2.16,492.13,551.95,59.82,0.0,172.1
FARM_00100,FIELD_FARM_00100_2,Midwest,46.610079,-95.078622,588.7,Clayey_Loam,6.04,2.39,23.0,29.3,205.5,12.0,831.8,65.8,21.2,Corn,Sweet_Corn,2023-05-10,2023-10-05,Nitrogen_High,124.9,Rainfall_Only,0,Deep_Till,20.4,Low,Low,No,10.04,985.96,2190.98,1205.02,0.0,584.8
FARM_00103,FIELD_FARM_00103_5,Midwest,41.528136,-97.485474,188.0,Loam,7.5,3.22,25.1,63.4,185.6,8.6,828.4,58.7,26.3,Carrots,Carrots_Standard,2023-03-11,2023-07-10,Phosphorus_High,72.5,Subsurface_Drip,8,No_Till,2.7,High,Medium,Yes,31.22,1071.85,11066.67,9994.82,314.4,333.0
FARM_00106,FIELD_FARM_00106_4,Midwest,44.488587,-97.096815,460.2,Loam,6.62,4.8,42.1,71.5,201.4,9.0,813.5,43.8,20.0,Peas,Peas_Standard,2023-05-07,2023-08-08,Organic_Compost,2578.5,Rainfall_Only,0,Minimum_Till,55.7,Medium,Low,No,2.67,1468.11,1037.12,-430.99,0.0,186.0
FARM_00109,FIELD_FARM_00109_3,Midwest,41.204837,-86.582578,925.9,Sandy_Loam,7.17,1.7,8.8,40.4,73.2,11.0,1148.7,59.5,18.9,Potatoes,Fingerling,2023-04-28,2023-08-12,Potassium_High,123.4,Rainfall_Only,0,Reduced_Till,2670.7,Medium,Low,No,40.18,7215.07,15136.44,7921.37,0.0,223.2
FARM_00110,FIELD_FARM_00110_2,Midwest,41.144065,-97.500648,371.3,Loam,6.69,4.2,40.7,57.1,70.3,11.8,1103.1,76.2,27.3,Wheat,Durum_Wheat,2023-10-06,2024-01-04,Organic_Compost,1704.0,Subsurface_Drip,12,Reduced_Till,143.4,Low,Low,No,6.88,1651.23,1607.17,-44.06,150.4,364.8
FARM_00111,FIELD_FARM_00111_2,Midwest,39.350079,-85.10304,617.0,Sandy,5.87,1.91,18.8,41.0,212.3,11.7,638.4,77.1,19.4,Lettuce,Lettuce_Standard,2023-03-07,2023-08-04,Phosphorus_High,98.2,Drip_Irrigation,2,Deep_Till,1.6,Low,Medium,Yes,18.93,1010.39,19991.19,18980.8,779.4,463.4
FARM_00113,FIELD_FARM_00113_4,Midwest,42.447814,-92.915756,621.8,Sandy_Loam,6.21,2.42,22.6,60.5,146.2,10.0,857.8,73.3,27.9,Wheat,Spring_Wheat,2023-10-01,2024-01-28,NPK_Balanced,92.5,Rainfall_Only,0,Minimum_Till,104.0,High,Low,Yes,3.24,1017.58,894.76,-122.82,0.0,359.3
FARM_00117,FIELD_FARM_00117_2,Midwest,39.053135,-84.692129,1159.2,Clay,6.87,3.99,37.9,46.5,137.6,10.7,1055.1,40.7,18.1,Soybeans,Maturity_Group_2,2023-06-28,2023-10-01,Phosphorus_High,115.0,Rainfall_Only,0,No_Till,69.8,Medium,Medium,No,3.4,870.63,1706.76,836.12,0.0,215.6
FARM_00122,FIELD_FARM_00122_4,Midwest,45.48639,-97.393083,234.3,Silt,6.86,2.51,15.9,50.6,163.2,11.8,636.4,70.8,15.4,Wheat,Durum_Wheat,2023-10-06,2024-01-06,No_Fertilizer,0.0,Rainfall_Only,0,Minimum_Till,141.8,High,Medium,No,2.66,752.99,779.33,26.33,0.0,125.7
FARM_00128,FIELD_FARM_00128_5,Midwest,40.520486,-93.000234,526.8,Clay,6.44,3.33,40.6,76.1,202.5,11.7,1071.5,66.5,15.1,Soybeans,Maturity_Group_2,2023-05-18,2023-09-01,Phosphorus_High,112.2,Rainfall_Only,0,Conventional_Till,70.4,Low,Medium,Yes,3.84,979.66,1943.28,963.62,0.0,356.3
FARM_00138,FIELD_FARM_00138_4,Midwest,41.108862,-83.4274,1230.6,Loam,7.42,3.2,36.3,28.6,297.6,8.1,962.1,69.7,25.3,Wheat,Durum_Wheat,2023-11-15,2024-02-17,Nitrogen_High,132.6,Rainfall_Only,0,Conventional_Till,122.2,Medium,Low,Yes,5.27,1355.02,1108.73,-246.29,0.0,526.5
