farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00014,FIELD_FARM_00014_1,Southeast,33.360846,-86.502772,1316.2,Silt,6.87,4.42,41.3,39.6,192.1,18.5,1385.3,45.7,18.8,Beans,Beans_Standard,2023-03-23,2023-07-03,No_Fertilizer,0.0,Subsurface_Drip,5,Deep_Till,44.8,Medium,Low,Yes,2.5,939.96,960.27,20.31,473.6,367.4
FARM_00018,FIELD_FARM_00018_5,Southeast,29.659221,-98.888763,398.9,Clayey_Loam,7.27,5.45,52.6,47.5,127.4,19.9,1347.8,47.3,28.7,Rice,Medium_Grain,2023-05-25,2023-08-24,NPK_Balanced,97.5,Subsurface_Drip,9,Deep_Till,46.0,Low,Low,No,12.72,1006.88,5583.36,4576.48,202.2,760.3
FARM_00020,FIELD_FARM_00020_5,Southeast,35.226178,-88.890888,841.4,Sandy_Loam,6.91,2.68,26.0,39.4,246.2,18.8,1444.0,80.6,24.3,Carrots,Carrots_Standard,2023-04-15,2023-08-09,Urea,150.9,Rainfall_Only,0,Conventional_Till,3.3,Medium,Low,No,36.4,781.27,16726.68,15945.41,0.0,671.2
FARM_00021,FIELD_FARM_00021_2,Southeast,36.119052,-90.744395,387.4,Clayey_Loam,7.27,3.83,32.2,54.3,110.0,15.5,903.1,45.8,17.3,Soybeans,Maturity_Group_2,2023-04-18,2023-09-15,Phosphorus_High,81.5,Subsurface_Drip,9,Reduced_Till,49.0,Low,Low,Yes,3.7,1115.69,2076.85,961.16,169.3,386.8
FARM_00034,FIELD_FARM_00034_2,Southeast,35.972943,-93.018114,574.7,Sandy,6.13,1.21,23.8,22.9,72.6,19.6,854.6,77.7,21.6,Potatoes,Fingerling,2023-04-02,2023-08-24,Potassium_High,131.8,Rainfall_Only,0,Reduced_Till,2936.8,Medium,Low,Yes,36.28,8040.7,11409.11,3368.42,0.0,285.7
FARM_00035,FIELD_FARM_00035_3,Southeast,32.479991,-91.298643,516.6,Clay,6.62,4.97,46.7,42.2,69.0,15.5,801.9,83.5,15.1,Beans,Beans_Standard,2023-05-17,2023-10-14,Potassium_High,140.9,Rainfall_Only,0,Reduced_Till,53.8,Medium,Low,No,3.3,867.09,1169.24,302.14,0.0,299.7
FARM_00063,FIELD_FARM_00063_4,Southeast,25.461116,-78.045378,692.2,Loam,6.74,3.16,29.3,25.9,272.3,17.7,1506.0,44.8,29.8,Wheat,Winter_Wheat,2023-09-13,2024-01-31,Organic_Compost,1485.5,Rainfall_Only,0,Reduced_Till,96.6,High,Medium,Yes,3.5,1441.47,989.72,-451.75,0.0,196.7
FARM_00066,FIELD_FARM_00066_3,Southeast,26.580745,-83.494623,1226.7,Loam,6.23,3.03,27.5,63.1,235.9,18.7,884.7,46.8,16.4,Beans,Beans_Standard,2023-05-08,2023-09-16,No_Fertilizer,0.0,Subsurface_Drip,9,Deep_Till,56.2,High,Low,Yes,2.22,1112.77,779.11,-333.66,259.0,407.9
FARM_00067,FIELD_FARM_00067_2,Southeast,29.264615,-81.702455,831.3,Sandy_Loam,6.99,3.18,37.1,10.8,237.4,19.6,1342.7,74.0,27.6,Carrots,Carrots_Standard,2023-05-04,2023-08-21,Potassium_High,140.2,Subsurface_Drip,9,Strip_Till,2.7,Medium,Low,Yes,35.35,901.26,14054.66,13153.39,205.0,367.9
FARM_00070,FIELD_FARM_00070_2,Southeast,35.912682,-81.813395,10.5,Clay,6.24,4.64,34.8,62.6,214.2,20.7,855.2,42.6,19.2,Beans,Beans_Standard,2023-04-24,2023-08-01,No_Fertilizer,0.0,Rainfall_Only,0,Strip_Till,55.2,Medium,Medium,Yes,2.22,620.8,833.3,212.5,0.0,111.2
