farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00004,FIELD_FARM_00004_2,Southwest,32.65069,-97.496405,708.3,Clayey_Loam,7.26,5.0,49.4,26.5,114.0,18.2,484.3,45.0,21.6,Wheat,Durum_Wheat,2023-09-04,2024-01-01,No_Fertilizer,0.0,Drip_Irrigation,1,Strip_Till,125.0,Medium,Low,Yes,5.98,1270.79,1801.42,530.64,2268.1,241.2
FARM_00005,FIELD_FARM_00005_2,Southwest,27.621285,-112.088192,1324.9,Sandy,5.68,1.21,22.8,29.0,211.9,18.0,341.0,53.7,17.5,Lettuce,Lettuce_Standard,2023-02-19,2023-06-30,Nitrogen_High,135.4,Sprinkler,4,Deep_Till,2.4,Low,Medium,Yes,11.59,1002.88,15969.68,14966.8,887.8,618.6
FARM_00009,FIELD_FARM_00009_1,Southwest,33.669425,-116.296057,36.5,Clay,6.07,5.98,52.2,29.6,270.9,22.5,581.2,54.9,23.3,Wheat,Durum_Wheat,2023-11-21,2024-03-21,NPK_Balanced,157.4,Drip_Irrigation,2,Strip_Till,111.2,Low,Low,No,9.36,1083.76,2116.35,1032.59,1157.8,434.0
FARM_00015,FIELD_FARM_00015_2,Southwest,36.400744,-95.531178,860.2,Clayey_Loam,6.12,4.19,39.6,24.9,286.5,22.7,245.4,81.9,29.6,Tomatoes,Cherry,2023-05-11,2023-08-19,NPK_Balanced,100.1,Drip_Irrigation,2,Reduced_Till,0.4,High,High,No,29.0,798.02,23160.15,22362.14,1296.9,433.6
FARM_00023,FIELD_FARM_00023_4,Southwest,25.240854,-115.015546,317.2,Sandy,6.3,0.97,9.6,43.2,138.8,21.9,391.8,66.3,26.1,Onions,Onions_Standard,2023-02-05,2023-05-11,Nitrogen_High,186.0,Micro_Sprinkler,12,Conventional_Till,4.2,Medium,Low,No,16.83,931.19,5787.85,4856.66,202.7,741.2
FARM_00028,FIELD_FARM_00028_1,Southwest,31.512693,-117.194229,518.5,Loam,7.44,3.03,23.8,39.7,122.0,21.7,564.7,46.3,16.5,Corn,Flint_Corn,2023-03-24,2023-07-28,NPK_Balanced,146.2,Rainfall_Only,0,Reduced_Till,21.5,Medium,Medium,Yes,10.73,1113.62,2200.13,1086.51,0.0,359.3
FARM_00048,FIELD_FARM_00048_4,Southwest,32.545178,-102.204141,1151.6,Silt,6.26,4.17,39.9,40.7,231.3,20.9,549.4,80.5,21.3,Soybeans,Maturity_Group_4,2023-04-12,2023-07-13,Phosphorus_High,107.4,Sprinkler,5,Minimum_Till,63.2,Low,Medium,Yes,3.4,1111.72,1616.2,504.48,597.1,347.6
FARM_00054,FIELD_FARM_00054_5,Southwest,36.45592,-104.704514,570.1,Silt,7.7,2.88,20.1,44.0,114.2,19.7,322.9,76.1,23.1,Beans,Beans_Standard,2023-04-17,2023-07-28,Phosphorus_High,94.8,Sprinkler,5,Conventional_Till,42.4,Low,High,Yes,1.06,1201.77,283.78,-917.99,787.9,504.3
FARM_00058,FIELD_FARM_00058_2,Southwest,36.774836,-110.278517,573.8,Silt,7.76,2.05,26.1,63.8,110.9,22.0,237.2,51.6,26.8,Cotton,Cotton_Standard,2023-04-14,2023-08-17,Organic_Compost,1763.8,Sprinkler,4,Strip_Till,18.1,Low,Low,No,1.74,1351.97,2451.94,1099.97,996.5,344.8
FARM_00060,FIELD_FARM_00060_1,Southwest,31.030793,-112.641446,219.6,Clayey_Loam,6.16,3.78,35.3,26.3,70.0,22.7,248.8,66.7,29.0,Tomatoes,Determinate,2023-03-11,2023-06-10,NPK_Balanced,141.7,Micro_Sprinkler,7,Minimum_Till,0.4,Medium,Low,Yes,54.55,1096.67,41398.42,40301.75,335.4,434.1
