farm_id,field_id,region,latitude,longitude,elevation,soil_type,soil_ph,organic_matter_percent,nitrogen_content,phosphorus_content,potassium_content,avg_temperature,annual_rainfall,humidity_percent,solar_radiation,crop_type,crop_variety,planting_date,harvest_date,fertilizer_type,fertilizer_amount_kg_ha,irrigation_method,irrigation_frequency_days,tillage_type,seed_rate_kg_ha,pest_pressure,disease_pressure,pesticide_used,yield_per_hectare,cost_per_hectare,revenue_per_hectare,profit_per_hectare,water_usage_mm,carbon_footprint_kg_co2
FARM_00004,FIELD_FARM_00004_2,Southwest,32.65069,-97.496405,708.3,Clayey_Loam,7.26,5.0,49.4,26.5,114.0,18.2,484.3,45.0,21.6,Wheat,Durum_Wheat,2023-09-04,2024-01-01,No_Fertilizer,0.0,Drip_Irrigation,1,Strip_Till,125.0,Medium,Low,Yes,5.98,1270.79,1801.42,530.64,2268.1,241.2
FARM_00009,FIELD_FARM_00009_1,Southwest,33.669425,-116.296057,36.5,Clay,6.07,5.98,52.2,29.6,270.9,22.5,581.2,54.9,23.3,Wheat,Durum_Wheat,2023-11-21,2024-03-21,NPK_Balanced,157.4,Drip_Irrigation,2,Strip_Till,111.2,Low,Low,No,9.36,1083.76,2116.35,1032.59,1157.8,434.0
FARM_00031,FIELD_FARM_00031_3,Pacific_Northwest,42.528524,-113.701307,408.5,Loam,6.97,3.23,21.3,20.9,229.0,11.6,456.9,50.0,18.5,Wheat,Durum_Wheat,2023-09-15,2024-01-19,Organic_Compost,1614.3,Rainfall_Only,0,Minimum_Till,127.3,Low,Low,No,6.59,1434.31,2001.25,566.94,0.0,191.8
FARM_00037,FIELD_FARM_00037_1,Northeast,42.379125,-69.853265,98.0,Clay,6.81,4.82,48.3,46.4,156.7,11.3,950.5,60.8,29.9,Wheat,Durum_Wheat,2023-11-07,2024-03-21,Organic_Compost,1820.9,Rainfall_Only,0,Reduced_Till,132.8,Medium,Low,No,6.88,1573.54,2038.12,464.58,0.0,217.6
FARM_00041,FIELD_FARM_00041_3,Midwest,47.7863,-84.861775,987.7,Clay,6.24,3.06,26.2,26.7,282.5,8.4,1019.4,48.5,28.2,Wheat,Spring_Wheat,2023-10-11,2024-03-01,Nitrogen_High,171.9,Rainfall_Only,0,Conventional_Till,103.7,High,High,Yes,2.38,1215.11,767.64,-447.48,0.0,579.0
FARM_00044,FIELD_FARM_00044_1,California_Central_Valley,38.729185,-121.198563,1302.2,Silt,7.1,3.18,31.3,21.1,100.9,16.3,203.8,60.4,23.0,Wheat,Durum_Wheat,2023-10-03,2024-01-20,Organic_Compost,2355.8,Drip_Irrigation,2,Strip_Till,119.1,Medium,Medium,Yes,4.21,1739.85,1185.59,-554.25,940.3,269.4
FARM_00056,FIELD_FARM_00056_1,California_Central_Valley,37.676791,-121.286216,468.4,Loam,6.91,3.64,28.8,37.4,198.6,17.5,495.7,46.1,25.4,Wheat,Spring_Wheat,2023-09-11,2024-01-17,Urea,180.9,Drip_Irrigation,2,No_Till,135.3,Medium,Medium,Yes,4.89,1445.8,1095.57,-350.24,938.7,472.1
FARM_00057,FIELD_FARM_00057_1,Midwest,45.171558,-93.382162,1247.8,Silt,7.48,2.58,26.5,71.6,212.7,10.1,794.6,55.0,25.0,Wheat,Spring_Wheat,2023-10-23,2024-02-19,Urea,180.0,Drip_Irrigation,2,Reduced_Till,123.9,High,Low,Yes,3.39,1280.99,868.7,-412.29,1211.4,568.1
FARM_00059,FIELD_FARM_00059_3,Great_Plains,47.871488,-97.042511,1488.2,Clayey_Loam,6.51,3.85,33.8,47.8,207.0,12.7,566.2,72.5,17.1,Wheat,Spring_Wheat,2023-11-02,2024-02-26,Nitrogen_High,167.5,Subsurface_Drip,8,Deep_Till,112.6,Medium,High,Yes,3.78,1502.15,821.78,-680.37,303.5,780.9
FARM_00061,FIELD_FARM_00061_2,Pacific_Northwest,42.849695,-120.450873,151.6,Silt,7.19,3.58,28.2,26.3,105.2,9.7,1777.0,78.2,25.9,Wheat,Durum_Wheat,2023-11-27,2024-03-23,Urea,197.8,Rainfall_Only,0,Reduced_Till,104.5,Low,High,Yes,3.61,1246.13,985.97,-260.17,0.0,563.0
